    P[dbar]   T[ITS90]      Theta   Salinite      Gamma   Ox[ml/l]  Ox[um/kg]    Fluo[V]    F[Urel]   CSTAR[V]    C660[%]  C660[m-1]
    226.000    13.4410    13.4081    38.5744    29.0795    3.61155    156.699     1.0901     0.1292     4.5208    91.4530     0.0893
    227.000    13.4410    13.4080    38.5743    29.0795    3.61165    156.703     1.0901     0.1292     4.5210    91.4566     0.0893
    228.000    13.4398    13.4066    38.5739    29.0795    3.61255    156.742     1.0944     0.1307     4.5211    91.4585     0.0893
    229.000    13.4380    13.4047    38.5735    29.0796    3.61675    156.924     1.0944     0.1307     4.5211    91.4585     0.0893
    230.000    13.4340    13.4005    38.5725    29.0797    3.61948    157.043     1.0950     0.1309     4.5208    91.4530     0.0893
    231.000    13.4333    13.3997    38.5731    29.0804    3.61976    157.055     1.0999     0.1325     4.5205    91.4483     0.0894
    232.000    13.4330    13.3993    38.5730    29.0804    3.61976    157.055     1.1002     0.1326     4.5205    91.4483     0.0894
    233.000    13.4324    13.3985    38.5730    29.0805    3.61976    157.055     1.1002     0.1326     4.5204    91.4455     0.0894
    234.000    13.4324    13.3984    38.5731    29.0806    3.61746    156.955     1.1002     0.1326     4.5204    91.4455     0.0894
    235.000    13.4316    13.3974    38.5728    29.0806    3.61746    156.955     1.1017     0.1332     4.5206    91.4492     0.0894
    236.000    13.4305    13.3962    38.5728    29.0808    3.61746    156.955     1.0960     0.1312     4.5207    91.4517     0.0894
    237.000    13.4295    13.3950    38.5725    29.0809    3.62212    157.158     1.0960     0.1312     4.5212    91.4611     0.0892
    238.000    13.4282    13.3936    38.5723    29.0810    3.62483    157.275     1.0960     0.1312     4.5213    91.4641     0.0892
    239.000    13.4282    13.3936    38.5717    29.0811    3.62483    157.275     1.0975     0.1317     4.5217    91.4711     0.0891
    240.000    13.4282    13.3936    38.5717    29.0814    3.62483    157.275     1.0975     0.1317     4.5218    91.4744     0.0891
    241.000    13.4336    13.3985    38.5751    29.0822    3.61731    156.948     1.1014     0.1331     4.5221    91.4788     0.0890
    242.000    13.4455    13.4103    38.5785    29.0823    3.61246    156.737     1.1041     0.1340     4.5228    91.4939     0.0889
    243.000    13.4486    13.4132    38.5793    29.0823    3.60942    156.605     1.1041     0.1340     4.5229    91.4968     0.0888
    244.000    13.4490    13.4133    38.5795    29.0823    3.60560    156.440     1.1014     0.1331     4.5229    91.4968     0.0888
    245.000    13.4490    13.4133    38.5795    29.0823    3.60560    156.440     1.0989     0.1322     4.5230    91.4975     0.0888
    246.000    13.4490    13.4133    38.5793    29.0824    3.60560    156.440     1.0989     0.1322     4.5230    91.4993     0.0888
    247.000    13.4456    13.4096    38.5782    29.0824    3.60922    156.597     1.0989     0.1322     4.5230    91.4975     0.0888
    248.000    13.4375    13.4014    38.5764    29.0825    3.61690    156.930     1.1009     0.1329     4.5229    91.4958     0.0889
    249.000    13.4243    13.3881    38.5732    29.0829    3.63020    157.508     1.1053     0.1344     4.5227    91.4916     0.0889
    250.000    13.4143    13.3779    38.5711    29.0834    3.63335    157.645     1.1053     0.1344     4.5226    91.4902     0.0889
    251.000    13.4143    13.3779    38.5711    29.0836    3.63335    157.645     1.1009     0.1329     4.5226    91.4902     0.0889
    252.000    13.4143    13.3779    38.5710    29.0836    3.63373    157.661     1.0999     0.1326     4.5226    91.4902     0.0889
    253.000    13.4147    13.3779    38.5715    29.0836    3.63417    157.681     1.0969     0.1315     4.5226    91.4902     0.0889
    254.000    13.4157    13.3785    38.5715    29.0837    3.63441    157.691     1.0938     0.1305     4.5226    91.4902     0.0889
    255.000    13.4157    13.3785    38.5716    29.0837    3.63459    157.699     1.0938     0.1305     4.5226    91.4902     0.0889
    256.000    13.4157    13.3785    38.5717    29.0838    3.63459    157.699     1.0969     0.1315     4.5226    91.4903     0.0889
    257.000    13.4157    13.3783    38.5717    29.0838    3.63459    157.699     1.1020     0.1333     4.5226    91.4896     0.0889
    258.000    13.4156    13.3781    38.5717    29.0839    3.63459    157.699     1.1020     0.1333     4.5226    91.4895     0.0889
    259.000    13.4138    13.3761    38.5714    29.0840    3.63459    157.699     1.1020     0.1333     4.5225    91.4880     0.0889
    260.000    13.4109    13.3731    38.5707    29.0841    3.63910    157.894     1.0948     0.1308     4.5226    91.4895     0.0889
    261.000    13.4091    13.3711    38.5703    29.0842    3.64010    157.938     1.0948     0.1308     4.5225    91.4880     0.0889
    262.000    13.4062    13.3680    38.5698    29.0845    3.64010    157.938     1.0948     0.1308     4.5225    91.4880     0.0889
    263.000    13.4062    13.3680    38.5698    29.0846    3.64010    157.938     1.0993     0.1323     4.5223    91.4848     0.0890
    264.000    13.4062    13.3678    38.5701    29.0846    3.63832    157.861     1.1028     0.1336     4.5223    91.4833     0.0890
    265.000    13.4062    13.3678    38.5700    29.0848    3.63243    157.605     1.1051     0.1344     4.5221    91.4790     0.0890
    266.000    13.4062    13.3675    38.5701    29.0848    3.63011    157.505     1.1051     0.1344     4.5216    91.4700     0.0891
    267.000    13.4062    13.3675    38.5701    29.0849    3.62907    157.460     1.1028     0.1336     4.5214    91.4646     0.0892
    268.000    13.4059    13.3669    38.5701    29.0849    3.62907    157.460     1.0896     0.1290     4.5205    91.4482     0.0894
    269.000    13.4044    13.3653    38.5696    29.0849    3.63002    157.501     1.0896     0.1290     4.5205    91.4475     0.0894
    270.000    13.4026    13.3633    38.5693    29.0851    3.63002    157.501     1.0896     0.1290     4.5205    91.4475     0.0894
    271.000    13.3975    13.3581    38.5682    29.0854    3.63063    157.528     1.0982     0.1319     4.5205    91.4482     0.0894
    272.000    13.3944    13.3549    38.5676    29.0855    3.63290    157.626     1.1023     0.1334     4.5207    91.4511     0.0894
    273.000    13.3936    13.3539    38.5674    29.0856    3.63290    157.626     1.1023     0.1334     4.5208    91.4531     0.0893
    274.000    13.3931    13.3533    38.5673    29.0857    3.63290    157.626     1.1018     0.1332     4.5209    91.4551     0.0893
    275.000    13.3931    13.3530    38.5672    29.0857    3.63290    157.626     1.0982     0.1319     4.5210    91.4567     0.0893
    276.000    13.3926    13.3526    38.5673    29.0857    3.63320    157.639     1.0958     0.1311     4.5210    91.4573     0.0893
    277.000    13.3926    13.3523    38.5672    29.0858    3.63320    157.639     1.0958     0.1311     4.5211    91.4592     0.0893
    278.000    13.3900    13.3496    38.5668    29.0860    3.63320    157.639     1.0932     0.1303     4.5211    91.4594     0.0893
    279.000    13.3890    13.3484    38.5665    29.0860    3.63006    157.503     1.0932     0.1303     4.5214    91.4649     0.0892
    280.000    13.3887    13.3478    38.5665    29.0862    3.62475    157.273     1.1020     0.1333     4.5216    91.4688     0.0892
    281.000    13.3887    13.3478    38.5665    29.0862    3.62306    157.200     1.1020     0.1333     4.5216    91.4688     0.0892
    282.000    13.3887    13.3477    38.5665    29.0862    3.62240    157.171     1.1016     0.1331     4.5217    91.4709     0.0891
    283.000    13.3889    13.3477    38.5665    29.0863    3.62240    157.171     1.1016     0.1331     4.5217    91.4723     0.0891
    284.000    13.3889    13.3477    38.5666    29.0863    3.62306    157.200     1.0969     0.1315     4.5217    91.4723     0.0891
    285.000    13.3891    13.3477    38.5667    29.0863    3.62548    157.304     1.0966     0.1314     4.5217    91.4723     0.0891
    286.000    13.3891    13.3476    38.5666    29.0863    3.62548    157.304     1.0969     0.1315     4.5218    91.4738     0.0891
    287.000    13.3891    13.3476    38.5668    29.0865    3.62548    157.304     1.0969     0.1315     4.5220    91.4778     0.0890
    288.000    13.3890    13.3471    38.5670    29.0867    3.62509    157.287     1.1003     0.1327     4.5231    91.5010     0.0888
    289.000    13.3877    13.3457    38.5670    29.0870    3.62509    157.287     1.1034     0.1338     4.5231    91.5010     0.0888
    290.000    13.3858    13.3436    38.5667    29.0872    3.62509    157.287     1.1034     0.1338     4.5231    91.5010     0.0888
    291.000    13.3842    13.3419    38.5665    29.0874    3.62660    157.353     1.1003     0.1327     4.5227    91.4929     0.0889
    292.000    13.3830    13.3405    38.5662    29.0875    3.62679    157.361     1.1003     0.1327     4.5227    91.4919     0.0889
    293.000    13.3813    13.3387    38.5659    29.0877    3.62679    157.361     1.1038     0.1339     4.5227    91.4919     0.0889
    294.000    13.3802    13.3375    38.5658    29.0878    3.62660    157.353     1.0986     0.1321     4.5225    91.4891     0.0889
    295.000    13.3795    13.3366    38.5656    29.0879    3.62627    157.339     1.1026     0.1335     4.5225    91.4885     0.0889
    296.000    13.3792    13.3362    38.5656    29.0879    3.62518    157.291     1.1026     0.1335     4.5224    91.4869     0.0889
    297.000    13.3788    13.3355    38.5655    29.0880    3.62508    157.287     1.0978     0.1318     4.5222    91.4821     0.0890
    298.000    13.3787    13.3355    38.5655    29.0880    3.61984    157.060     1.0978     0.1318     4.5219    91.4757     0.0891
    299.000    13.3778    13.3343    38.5654    29.0882    3.61946    157.043     1.0979     0.1319     4.5218    91.4748     0.0891
    300.000    13.3759    13.3323    38.5652    29.0885    3.61906    157.026     1.0961     0.1312     4.5216    91.4692     0.0892
    301.000    13.3759    13.3323    38.5652    29.0886    3.61730    156.950     1.0979     0.1319     4.5214    91.4660     0.0892
    302.000    13.3759    13.3323    38.5652    29.0887    3.61467    156.835     1.0979     0.1319     4.5214    91.4660     0.0892
    303.000    13.3784    13.3340    38.5666    29.0891    3.61450    156.828     1.0957     0.1311     4.5214    91.4660     0.0892
    304.000    13.3784    13.3340    38.5668    29.0891    3.60938    156.606     1.0957     0.1311     4.5215    91.4668     0.0892
    305.000    13.3784    13.3340    38.5668    29.0893    3.60897    156.588     1.0987     0.1321     4.5216    91.4691     0.0892
    306.000    13.3784    13.3339    38.5667    29.0893    3.60890    156.585     1.0965     0.1314     4.5217    91.4708     0.0891
    307.000    13.3779    13.3333    38.5667    29.0894    3.60669    156.489     1.0989     0.1322     4.5220    91.4767     0.0891
    308.000    13.3776    13.3328    38.5668    29.0896    3.60609    156.463     1.1007     0.1328     4.5220    91.4767     0.0891
    309.000    13.3776    13.3326    38.5669    29.0897    3.60659    156.485     1.0995     0.1324     4.5220    91.4776     0.0891
    310.000    13.3775    13.3325    38.5668    29.0898    3.60659    156.485     1.0995     0.1324     4.5220    91.4779     0.0890
    311.000    13.3766    13.3312    38.5668    29.0898    3.60659    156.485     1.1007     0.1328     4.5225    91.4876     0.0889
    312.000    13.3764    13.3312    38.5667    29.0899    3.60826    156.557     1.1058     0.1346     4.5230    91.4981     0.0888
    313.000    13.3759    13.3304    38.5667    29.0900    3.60925    156.600     1.0995     0.1324     4.5230    91.4989     0.0888
    314.000    13.3757    13.3300    38.5665    29.0900    3.60995    156.630     1.1024     0.1334     4.5230    91.4993     0.0888
    315.000    13.3747    13.3287    38.5665    29.0901    3.60995    156.630     1.1058     0.1346     4.5234    91.5065     0.0888
    316.000    13.3746    13.3286    38.5664    29.0902    3.61354    156.786     1.1025     0.1335     4.5235    91.5084     0.0888
    317.000    13.3746    13.3285    38.5665    29.0902    3.61466    156.835     1.1024     0.1334     4.5236    91.5117     0.0887
    318.000    13.3747    13.3283    38.5664    29.0902    3.61466    156.835     1.1024     0.1334     4.5236    91.5117     0.0887
    319.000    13.3746    13.3283    38.5664    29.0902    3.61466    156.835     1.1025     0.1335     4.5235    91.5097     0.0887
    320.000    13.3746    13.3281    38.5664    29.0903    3.61145    156.695     1.1003     0.1327     4.5235    91.5097     0.0887
    321.000    13.3740    13.3273    38.5663    29.0904    3.61145    156.695     1.0988     0.1322     4.5235    91.5081     0.0888
    322.000    13.3730    13.3262    38.5660    29.0904    3.61145    156.695     1.1003     0.1327     4.5235    91.5081     0.0888
    323.000    13.3723    13.3253    38.5660    29.0905    3.61386    156.800     1.1028     0.1335     4.5235    91.5097     0.0887
    324.000    13.3713    13.3240    38.5660    29.0907    3.61695    156.934     1.0964     0.1314     4.5236    91.5112     0.0887
    325.000    13.3711    13.3240    38.5659    29.0907    3.61695    156.934     1.1021     0.1333     4.5238    91.5147     0.0887
    326.000    13.3711    13.3237    38.5657    29.0908    3.61695    156.934     1.1104     0.1362     4.5238    91.5147     0.0887
    327.000    13.3708    13.3232    38.5657    29.0908    3.61654    156.917     1.1116     0.1366     4.5238    91.5157     0.0887
    328.000    13.3708    13.3231    38.5658    29.0909    3.61654    156.917     1.1119     0.1368     4.5238    91.5157     0.0887
    329.000    13.3699    13.3219    38.5657    29.0910    3.61654    156.917     1.1119     0.1368     4.5238    91.5157     0.0887
    330.000    13.3699    13.3219    38.5657    29.0911    3.61654    156.917     1.1119     0.1368     4.5242    91.5235     0.0886
    331.000    13.3699    13.3217    38.5659    29.0911    3.61654    156.917     1.1119     0.1368     4.5246    91.5313     0.0885
    332.000    13.3699    13.3217    38.5657    29.0913    3.61410    156.811     1.1139     0.1375     4.5246    91.5313     0.0885
    333.000    13.3702    13.3217    38.5661    29.0914    3.61143    156.695     1.1063     0.1348     4.5246    91.5313     0.0885
    334.000    13.3707    13.3221    38.5664    29.0915    3.61072    156.664     1.1063     0.1348     4.5245    91.5291     0.0885
    335.000    13.3707    13.3221    38.5667    29.0917    3.60860    156.572     1.1063     0.1348     4.5244    91.5280     0.0885
    336.000    13.3707    13.3221    38.5668    29.0918    3.60383    156.365     1.1056     0.1345     4.5241    91.5212     0.0886
    337.000    13.3707    13.3217    38.5668    29.0919    3.59829    156.124     1.1031     0.1336     4.5241    91.5205     0.0886
    338.000    13.3705    13.3210    38.5667    29.0920    3.59691    156.065     1.1031     0.1336     4.5239    91.5181     0.0887
    339.000    13.3705    13.3210    38.5669    29.0922    3.59667    156.054     1.1031     0.1336     4.5238    91.5153     0.0887
    340.000    13.3705    13.3210    38.5670    29.0922    3.59618    156.033     1.1031     0.1336     4.5238    91.5153     0.0887
    341.000    13.3707    13.3211    38.5672    29.0923    3.59618    156.033     1.1050     0.1343     4.5238    91.5159     0.0887
    342.000    13.3710    13.3211    38.5674    29.0924    3.59618    156.033     1.1070     0.1350     4.5238    91.5159     0.0887
    343.000    13.3712    13.3211    38.5674    29.0925    3.59405    155.941     1.1073     0.1351     4.5240    91.5196     0.0886
    344.000    13.3712    13.3210    38.5674    29.0926    3.59405    155.941     1.1070     0.1350     4.5240    91.5196     0.0886
    345.000    13.3712    13.3209    38.5674    29.0926    3.59435    155.954     1.1070     0.1350     4.5242    91.5240     0.0886
    346.000    13.3712    13.3208    38.5673    29.0926    3.59405    155.941     1.0987     0.1321     4.5243    91.5261     0.0886
    347.000    13.3712    13.3207    38.5674    29.0926    3.59388    155.933     1.0962     0.1313     4.5243    91.5261     0.0886
    348.000    13.3712    13.3207    38.5674    29.0926    3.59181    155.843     1.0962     0.1313     4.5244    91.5280     0.0885
    349.000    13.3713    13.3207    38.5675    29.0927    3.59169    155.838     1.0962     0.1313     4.5244    91.5286     0.0885
    350.000    13.3715    13.3204    38.5675    29.0927    3.59073    155.796     1.1000     0.1326     4.5244    91.5280     0.0885
    351.000    13.3713    13.3202    38.5674    29.0927    3.58905    155.723     1.1014     0.1331     4.5244    91.5286     0.0885
    352.000    13.3715    13.3202    38.5675    29.0927    3.58905    155.723     1.1042     0.1341     4.5245    91.5309     0.0885
    353.000    13.3713    13.3200    38.5674    29.0927    3.58905    155.723     1.1042     0.1341     4.5246    91.5313     0.0885
    354.000    13.3715    13.3199    38.5673    29.0927    3.58971    155.752     1.1042     0.1341     4.5246    91.5313     0.0885
    355.000    13.3714    13.3197    38.5674    29.0927    3.59003    155.766     1.1042     0.1341     4.5247    91.5345     0.0885
    356.000    13.3714    13.3194    38.5673    29.0928    3.59006    155.767     1.1032     0.1337     4.5248    91.5353     0.0885
    357.000    13.3711    13.3194    38.5674    29.0929    3.59006    155.767     1.0932     0.1303     4.5249    91.5373     0.0884
    358.000    13.3708    13.3187    38.5672    29.0929    3.59392    155.935     1.0932     0.1303     4.5249    91.5391     0.0884
    359.000    13.3685    13.3162    38.5666    29.0929    3.60115    156.249     1.0932     0.1303     4.5251    91.5430     0.0884
    360.000    13.3648    13.3124    38.5658    29.0932    3.60682    156.495     1.0939     0.1305     4.5253    91.5454     0.0883
    361.000    13.3633    13.3107    38.5655    29.0932    3.60692    156.499     1.0949     0.1308     4.5254    91.5477     0.0883
    362.000    13.3615    13.3088    38.5652    29.0934    3.60692    156.499     1.0958     0.1312     4.5257    91.5530     0.0882
    363.000    13.3610    13.3082    38.5651    29.0934    3.60692    156.499     1.1010     0.1329     4.5259    91.5572     0.0882
    364.000    13.3601    13.3071    38.5649    29.0935    3.60692    156.499     1.1017     0.1332     4.5262    91.5635     0.0881
    365.000    13.3586    13.3055    38.5644    29.0935    3.60692    156.499     1.1062     0.1347     4.5262    91.5641     0.0881
    366.000    13.3570    13.3037    38.5643    29.0937    3.61017    156.640     1.1062     0.1347     4.5263    91.5654     0.0881
    367.000    13.3567    13.3033    38.5640    29.0937    3.61424    156.817     1.1062     0.1347     4.5265    91.5685     0.0881
    368.000    13.3551    13.3015    38.5636    29.0938    3.61738    156.953     1.0981     0.1319     4.5265    91.5701     0.0880
    369.000    13.3540    13.3003    38.5635    29.0939    3.61872    157.011     1.0977     0.1318     4.5265    91.5703     0.0880
    370.000    13.3529    13.2990    38.5634    29.0940    3.62092    157.107     1.0977     0.1318     4.5269    91.5774     0.0880
    371.000    13.3528    13.2988    38.5632    29.0941    3.62092    157.107     1.0977     0.1318     4.5269    91.5784     0.0879
    372.000    13.3519    13.2977    38.5633    29.0943    3.62092    157.107     1.1035     0.1338     4.5270    91.5793     0.0879
    373.000    13.3519    13.2976    38.5634    29.0943    3.61807    156.983     1.1042     0.1341     4.5270    91.5793     0.0879
    374.000    13.3518    13.2973    38.5633    29.0944    3.61807    156.983     1.1042     0.1341     4.5270    91.5802     0.0879
    375.000    13.3519    13.2973    38.5633    29.0944    3.61807    156.983     1.1042     0.1341     4.5270    91.5802     0.0879
    376.000    13.3519    13.2972    38.5633    29.0944    3.61813    156.986     1.1026     0.1335     4.5274    91.5872     0.0878
    377.000    13.3519    13.2971    38.5633    29.0944    3.62045    157.086     1.1025     0.1335     4.5274    91.5872     0.0878
    378.000    13.3519    13.2970    38.5633    29.0944    3.62046    157.087     1.1017     0.1332     4.5274    91.5872     0.0878
    379.000    13.3519    13.2969    38.5633    29.0944    3.62046    157.087     1.1025     0.1335     4.5274    91.5872     0.0878
    380.000    13.3517    13.2964    38.5631    29.0945    3.62045    157.086     1.1025     0.1335     4.5274    91.5874     0.0878
    381.000    13.3515    13.2960    38.5631    29.0945    3.61913    157.029     1.0937     0.1305     4.5274    91.5874     0.0878
    382.000    13.3511    13.2955    38.5630    29.0945    3.61659    156.919     1.0927     0.1301     4.5274    91.5876     0.0878
    383.000    13.3504    13.2946    38.5629    29.0947    3.61600    156.893     1.0985     0.1321     4.5274    91.5874     0.0878
    384.000    13.3501    13.2942    38.5629    29.0947    3.61600    156.893     1.0985     0.1321     4.5273    91.5868     0.0878
    385.000    13.3494    13.2933    38.5628    29.0948    3.61600    156.893     1.0932     0.1302     4.5273    91.5859     0.0879
    386.000    13.3489    13.2927    38.5627    29.0949    3.61874    157.012     1.0985     0.1321     4.5273    91.5868     0.0878
    387.000    13.3486    13.2921    38.5626    29.0950    3.62022    157.077     1.0992     0.1323     4.5273    91.5868     0.0878
    388.000    13.3483    13.2919    38.5627    29.0950    3.62022    157.077     1.1003     0.1327     4.5275    91.5909     0.0878
    389.000    13.3482    13.2916    38.5626    29.0950    3.62022    157.077     1.1003     0.1327     4.5275    91.5909     0.0878
    390.000    13.3472    13.2904    38.5625    29.0952    3.61975    157.056     1.1003     0.1327     4.5276    91.5919     0.0878
    391.000    13.3468    13.2899    38.5623    29.0952    3.61968    157.053     1.1003     0.1327     4.5276    91.5919     0.0878
    392.000    13.3464    13.2893    38.5622    29.0952    3.61902    157.024     1.0948     0.1308     4.5276    91.5919     0.0878
    393.000    13.3459    13.2887    38.5622    29.0953    3.61485    156.844     1.0948     0.1308     4.5277    91.5941     0.0878
    394.000    13.3454    13.2880    38.5621    29.0953    3.61387    156.801     1.0948     0.1308     4.5277    91.5941     0.0878
    395.000    13.3453    13.2878    38.5619    29.0954    3.61204    156.722     1.1026     0.1335     4.5278    91.5957     0.0878
    396.000    13.3442    13.2865    38.5618    29.0955    3.61204    156.722     1.1067     0.1349     4.5278    91.5957     0.0878
    397.000    13.3437    13.2859    38.5616    29.0955    3.61204    156.722     1.1118     0.1367     4.5278    91.5957     0.0878
    398.000    13.3432    13.2852    38.5614    29.0955    3.61221    156.729     1.1118     0.1367     4.5278    91.5967     0.0878
    399.000    13.3426    13.2845    38.5614    29.0956    3.61457    156.832     1.1118     0.1367     4.5278    91.5967     0.0878
    400.000    13.3422    13.2839    38.5613    29.0956    3.61516    156.857     1.1132     0.1372     4.5277    91.5954     0.0878
    401.000    13.3418    13.2834    38.5612    29.0957    3.61516    156.857     1.1132     0.1372     4.5275    91.5913     0.0878
    402.000    13.3409    13.2824    38.5610    29.0957    3.61516    156.857     1.1149     0.1378     4.5274    91.5877     0.0878
    403.000    13.3405    13.2818    38.5609    29.0957    3.61462    156.834     1.1149     0.1378     4.5273    91.5868     0.0878
    404.000    13.3401    13.2813    38.5608    29.0957    3.61462    156.834     1.1105     0.1362     4.5273    91.5856     0.0879
    405.000    13.3392    13.2802    38.5598    29.0953    3.61462    156.834     1.0974     0.1317     4.5273    91.5856     0.0879
    406.000    13.3392    13.2801    38.5596    29.0952    3.61628    156.906     1.0867     0.1280     4.5273    91.5856     0.0879
    407.000    13.3383    13.2790    38.5595    29.0952    3.61477    156.840     1.0974     0.1317     4.5275    91.5901     0.0878
