Cruise	Station	Type	Time	Latitude [Deg.north]	Longitude [Deg. East]	bottom depth [m]	CTD number	Bottle number	Pressure [db]	Depth [m]	Temperature [Deg. Celcius]	Potential temperature [Deg. Celcius]	Salinity	Potential density [kg m-3]	Oxygen CTD raw [micromol L-1]	Fluorescence wetlabs [RFU]	Beam attenuation [m-1]	CDOM wetlabs [microgram L-1]	PAR [micromol m-2 d-1]	SPAR [micromol m-2 d-1]	O2winkler[micromol L-1]	QF O2winkler	oxygen CTD cal [micromol L-1]	Fluorescence ECO [RFU]	bbp [m-1]	cp [m-1]	POC [micromol L-]	QF POC	PON [micromol L-1]	QF PON	Bacteria Abundance [cell/mL]	QF BA	% HNA	QF %HNA	Syne Abundance [cell/ml]	QF SA	Nano Abundance [cell/mL]	QF NA	Pico Abundance [cell/mL]	QF PA	Proc Abundance [cell/mL]	QF ProA	PO4 [microM]	Q PO4	Si(OH)4 [microM]	QSi(OH)4	NO2 [microM]	QNO2	NO3 [microM]	QNO3	Chlorophyll c3	Chlc3-QA	Chlorophyll c1+c2+MgDVP	Chlc2-QA	Sum Chlorophyllide_a	Chlda-QA	Peridinin	Peri-QA	Sum_Phaeophorbid_a	Phda-QA	19'-Butanoyloxyfucoxanthin	But-QA	Fucoxanthin	Fuco-QA	Neoxanthin	Neo-QA	Prasinoxanthin	Pras-QA	Violaxanthin	Viola-QA	19'-Hexanoyloxyfucoxanthin	Hex-QA	Diadinoxanthin	Diadino-QA	Antheraxanthin	Anthera-QA	Alloxanthin	Allo-QA	Diatoxanthin	Diato-QA	Zeaxanthin	Zea-QA	Lutein	Lut-QA	Bacteriochlorophyll a	Bchla-QA	Divinyl Chlorophyll b	DVChlb-QA	Chlorophyll b	Chlb-QA	TChlb	TChlb-QA	Divinyl Chlorophyll a	DVChla-QA	Chlorophyll a	Chla-QA	Total Chlorophyll a	Tchla-QA	Sum Phaeophytin a	Phytna-QA	Sum Carotenes	Tcar-QA	AT [µmol/kg]	QF AT	CT [µmol/kg]	QF DIC
SOCLIM	KERFIX	B	2016-10-18T22:37:13	-50.68274	68.37744	1707	9	1	1214.512	1200.521	2.2138	2.1363	34.7151	27.7324	179.266	0.0208	0.5449	4.6984	5.99E-03	3.74E+00		9	190.316	0.005	1.60E-04	1.27E-02		9		9		9		9		9		9		9		9	2.29	1	79.95	1	0.04	1	33.03	1																																																					2342.2	1	2245.5	1
SOCLIM	KERFIX	B	2016-10-18T22:43:40	-50.68272	68.37748	1707	9	2	1010.718	999.559	2.3366	2.2728	34.6704	27.6855	172.302	0.0189	0.5425	225.1101	9.48E-03	3.74E+00		9	183.352	0.005	1.58E-04	1.08E-02		9		9		9		9		9		9		9		9		9		9		9		9																																																					2339.1	1	2249.5	1
SOCLIM	KERFIX	B	2016-10-18T22:44:03	-50.68272	68.37746	1707	9	3	1010.401	999.246	2.3369	2.2732	34.6703	27.6854	172.119	0.0156	0.5428	9.1894	5.99E-03	3.71E+00	182.3138872	1	183.169	0.005	1.58E-04	1.08E-02	0.43	1	0.06	1	5.68E+04	1	60.7	1		9		9		9		9	2.38	1	77.47	1	0.03	1	34.31	1																																																					2337.7	1	2247.4	1
SOCLIM	KERFIX	B	2016-10-18T22:49:51	-50.68276	68.37746	1707	9	4	808.892	800.347	2.4207	2.3706	34.5882	27.6116	165.307	0.0175	0.5408	7.3646	5.65E-03	3.71E+00	174.7177342	1	176.357	0.006	1.39E-04	8.79E-03		9		9		9		9		9		9		9		9	2.5	1	74.61	1	0.04	1	35.96	1																																																					2333.4	1	2252.3	1
SOCLIM	KERFIX	B	2016-10-18T22:54:31	-50.68273	68.37746	1707	9	5	606.397	600.282	2.4612	2.4245	34.4786	27.5193	167.884	0.0156	0.5436	10.5626	5.82E-03	3.74E+00		9	178.934	0.004	1.90E-04	1.12E-02		9		9		9		9		9		9		9		9	2.58	1	68.8	1	0.04	1	37.04	1																																																					2320.6	1	2243.9	1
SOCLIM	KERFIX	B	2016-10-18T22:58:43	-50.68274	68.37742	1707	9	6	503.945	498.987	2.4104	2.3807	34.3894	27.4516	180.684	0.0189	0.5447	12.6487	5.70E-03	3.78E+00	190.0521495	1	191.734	0.007	2.45E-04	1.52E-02	0.71	1	0.09	1	1.07E+05	1	61.1	1		9		9		9		9	2.56	1	62.5	1	0.04	1	36.86	1	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	0	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	0.001	0	0.001	0	LOD	0	LOD	0	2318.1	1	2241.2	1
SOCLIM	KERFIX	B	2016-10-18T23:01:38	-50.68274	68.37744	1707	9	7	403.709	399.833	2.3305	2.3073	34.2724	27.3641	206.385	0.0138	0.5447	3.9143	5.59E-03	3.55E+00	214.0463346	1	217.435	0.007	2.19E-04	1.27E-02		9		9		9		9		9		9		9		9	2.49	1	51.99	1	0.04	1	36.09	1																																																					2304.3	1	2224.4	1
SOCLIM	KERFIX	B	2016-10-18T23:04:47	-50.68272	68.3774	1707	9	8	303.06	300.223	2.121	2.1045	34.0569	27.2079	271.83	0.0134	0.5455	7.0642	4.90E-03	3.71E+00	280.3447522	1	282.88	0.002	2.53E-04	1.39E-02		9		9		9		9		9		9		9		9	2.24	1	31.67	1	0.04	1	32.28	1																																																					2288.1	1	2189.2	1
SOCLIM	KERFIX	B	2016-10-18T23:06:52	-50.68272	68.37748	1707	9	9	251.973	249.645	2.083	2.0695	33.9784	27.1478	299.736	0.0257	0.548	243.5852	8.79E-03	3.51E+00	308.5244655	1	310.786	0.011	3.20E-04	1.61E-02	0.78	1	0.09	1	1.81E+05	1	58.2	1	4.83E+01	1	3.86E+01	1	9.94E+01	1	0.00E+00	6	2.13	1	24.81	1	0.05	1	30.63	1	0.0016	0	0.0018	0	LOD	0	LOD	0	0.0026	0	0.0019	0	0.006	0	LOD	0	LOD	0	LOD	0	0.0028	0	0.0011	0	0	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	0.0016	0	0.0016	0	LOD	0	0.0166	0	0.0166	0	0.0007	0	0.0006	0	2286.3	1	2173.9	1
SOCLIM	KERFIX	B	2016-10-18T23:09:19	-50.6827	68.37744	1707	9	10	202.338	200.493	2.1005	2.0898	33.928	27.1058	319.001	0.0486	0.5588	246.2193	8.56E-03	3.71E+00	328.9005355	1	330.051	0.044	4.99E-04	2.46E-02	1.08	1	0.15	1	2.62E+05	1	54.7	1	1.02E+02	1	2.08E+02	1	9.14E+02	1	0.00E+00	6	2.05	1	19.46	1	0.23	1	29.13	1	0.0059	0	0.0064	0	LOD	0	LOD	0	0.0064	0	0.0072	0	0.0153	0	0.0011	0	0.0028	0	0.0012	0	0.0126	0	0.0031	0	0	0	0.0009	0	LOD	0	0.0004	0	0.0003	0	LOD	0	LOD	0	0.0083	0	0.0083	0	LOD	0	0.0618	0	0.0618	0	0.0021	0	0.0019	2	2284.4	1	2162.7	1
SOCLIM	KERFIX	B	2016-10-18T23:11:20	-50.68276	68.37744	1707	9	11	151.225	149.864	2.2538	2.2457	33.9129	27.0814	322.526	0.1407	0.5897	245.0593	8.67E-03	3.47E+00	332.1174707	1	333.576	0.17	9.27E-04	5.33E-02	1.79	1	0.26	1	2.98E+05	1	59.5	1	1.31E+02	1	5.13E+02	1	3.17E+03	1	0.00E+00	6	2.01	1	18.42	1	0.24	1	28.57	1	0.016	0	0.02	0	0.002	0	LOD	0	0.0091	0	0.0167	0	0.0423	0	0.0035	0	0.0093	0	0.0035	0	0.0377	0	0.0092	0	0	0	0.0013	0	LOD	0	0.0011	0	0.0005	0	LOD	0	LOD	0	0.0253	0	0.0253	0	LOD	0	0.1738	0	0.1759	0	0.0019	0	0.0046	0	2283	1	2157.9	1
SOCLIM	KERFIX	B	2016-10-18T23:13:37	-50.68272	68.37746	1707	9	12	126.098	124.971	2.2882	2.2813	33.912	27.0778	323.706	0.1878	0.6028	3.2312	5.99E-03	3.63E+00		9	334.756	0.24	1.15E-03	6.93E-02	2.62	1	0.38	1	3.27E+05	1	56.5	1	1.74E+02	1	6.21E+02	1	4.47E+03	1	0.00E+00	6	1.99	1	18.2	1	0.23	1	28.46	1	0.0248	0	0.0326	0	0.0044	2	0.0043	0	0.0102	0	0.0256	0	0.0649	0	0.005	0	0.0131	0	0.0055	0	0.0576	0	0.0158	0	0	0	0.0015	0	0.0005	0	0.0015	0	0.0004	0	LOD	0	LOD	0	0.0413	0	0.0413	0	LOD	0	0.2691	0	0.2735	0	0.0027	0	0.0068	0	2283.4	1	2157.5	1
SOCLIM	KERFIX	B	2016-10-18T23:15:04	-50.68274	68.37746	1707	9	13	100.709	99.815	2.2907	2.2853	33.9121	27.0775	323.967	0.1863	0.6072	248.145	9.25E-03	3.67E+00	333.232459	1	335.017	0.278	1.22E-03	7.43E-02	3.21	1	0.37	1	3.10E+05	1	56.5	1	1.68E+02	1	7.44E+02	1	4.70E+03	1	0.00E+00	6	1.98	1	18.5	1	0.23	1	28.37	1	0.026	0	0.0353	0	0.0047	2	0.0052	0	0.0106	0	0.0267	0	0.068	0	0.0054	0	0.0143	0	0.0063	0	0.0614	0	0.0166	0	0	0	0.0016	2	0.0004	0	0.0016	0	0.0005	0	LOD	0	LOD	0	0.0434	0	0.0434	0	LOD	0	0.2843	0	0.2889	0	0.0037	0	0.0075	0	2323.9	1	2195.7	1
SOCLIM	KERFIX	B	2016-10-18T23:16:59	-50.68272	68.37744	1707	9	14	75.679	75.012	2.3031	2.299	33.9119	27.0763	324.772	0.1894	0.6124	2.9744	5.87E-03	3.28E+00		9	335.822	0.295	1.31E-03	7.97E-02	2.83	1	0.4	1	3.25E+05	1	58.8	1	1.66E+02	1	8.06E+02	1	5.56E+03	1	0.00E+00	6	1.98	1	18.51	1	0.23	1	28.37	1	0.0247	0	0.0363	0	0.0062	2	0.007	0	0.011	0	0.0256	0	0.068	0	0.005	0	0.0141	0	0.0072	0	0.0618	0	0.0193	0	0	0	0.0015	0	0.0006	0	0.0018	0	0.0004	0	LOD	0	LOD	0	0.04	0	0.04	0	LOD	0	0.2816	0	0.2879	0	0.0032	0	0.0077	0	2286.4	1	2159.1	1
SOCLIM	KERFIX	B	2016-10-18T23:18:32	-50.68272	68.37746	1707	9	15	50.477	50.035	2.362	2.3593	33.9098	27.0697	324.974	0.2046	0.6163	5.3173	5.99E-03	3.35E+00		9	336.024	0.303	1.36E-03	8.49E-02	3.2	1	0.48	1	3.00E+05	1	56.8	1	1.90E+02	1	7.05E+02	1	4.84E+03	1	0.00E+00	6	1.97	1	18.49	1	0.25	1	28.1	1	0.027	0	0.0379	0	0.0101	0	0.0085	0	0.0083	0	0.0312	0	0.062	0	0.0063	0	0.0184	0	0.0107	0	0.072	0	0.0346	0	0	0	0.0018	0	0.0014	0	0.002	0	0.0009	0	LOD	0	LOD	0	0.0469	0	0.0469	0	LOD	0	0.3177	0	0.3279	0	0.0028	0	0.0103	0	2283.9	1	2157.7	1
SOCLIM	KERFIX	B	2016-10-18T23:20:16	-50.68272	68.37742	1707	9	16	41.209	40.85	2.3731	2.3708	33.9095	27.0685	325.29	0.1991	0.6168	129.9945	8.10E-03	3.55E+00	334.6038849	1	336.34	0.299	1.42E-03	8.49E-02	3.35	1	0.51	1	3.16E+05	1	58.6	1	1.75E+02	1	6.94E+02	1	4.68E+03	1	0.00E+00	6	1.97	1	18.5	1	0.23	1	28.24	1	0.0281	0	0.038	0	0.0086	0	0.0077	0	0.0082	0	0.0337	0	0.0611	0	0.0065	0	0.0192	0	0.0113	0	0.0752	0	0.0377	0	0	0	0.0019	0	0.0015	0	0.0022	0	0.0011	0	LOD	0	LOD	0	0.0486	0	0.0486	0	LOD	0	0.3278	0	0.3364	0	0.0031	0	0.0106	0	2283.5	1	2156.4	1
SOCLIM	KERFIX	B	2016-10-18T23:21:23	-50.68272	68.37744	1707	9	17	30.403	30.138	2.375	2.3733	33.9094	27.0682	325.523	0.1988	0.6173	6.6676	8.79E-03	3.51E+00		9	336.573	0.3	1.45E-03	8.50E-02		9		9		9		9		9		9		9		9	1.97	1	18.48	1	0.23	1	28.35	1	0.0278	0	0.0375	0	0.0096	0	0.007	0	0.0072	0	0.033	0	0.0611	0	0.0061	0	0.0177	0	0.0106	0	0.0751	0	0.0375	0	0	0	0.002	0	0.0016	0	0.0019	0	0.001	0	LOD	0	LOD	0	0.0437	0	0.0437	0	LOD	0	0.3178	0	0.3274	0	0.0026	0	0.0102	0	2282.9	1	2155.8	1
SOCLIM	KERFIX	B	2016-10-18T23:22:46	-50.68272	68.37742	1707	9	18	20.57	20.391	2.3746	2.3735	33.9089	27.0679	325.317	0.2022	0.6166	193.0381	1.73E-02	3.39E+00	334.6587273	1	336.367	0.304	1.37E-03	8.48E-02	3.43	1	0.5	1	3.02E+05	1	58	1	1.68E+02	1	7.23E+02	1	5.22E+03	1	0.00E+00	6	1.97	1	18.43	1	0.24	1	28.32	1	0.0272	0	0.0382	0	0.0096	0	0.0077	0	0.0069	0	0.0332	0	0.061	0	0.0065	0	0.0194	0	0.0117	0	0.0726	0	0.0377	0	0	0	0.0018	0	0.0017	0	0.002	0	0.0011	0	LOD	0	LOD	0	0.0478	0	0.0478	0	LOD	0	0.3197	0	0.3293	0	0.0029	0	0.0108	0	2284.8	1	2156.6	1
SOCLIM	KERFIX	B	2016-10-18T23:24:21	-50.68272	68.37738	1707	9	19	8.835	8.759	2.372	2.3716	33.9078	27.0671	325.78	0.1918	0.6164	12.2797	5.72E-02	3.59E+00		9	336.83	0.293	1.39E-03	8.52E-02		9		9		9		9		9		9		9		9	1.96	1	18.44	1	0.23	1	28.35	1																																																					2282.8	1	2155.9	1
SOCLIM	KERFIX	B	2016-10-18T23:25:19	-50.6827	68.37744	1707	9	20	5.417	5.37	2.3758	2.3755	33.8992	27.0599	325.454	0.186	0.6189	6.3444	9.63E-02	3.24E+00	334.421189	1	336.504	0.291	1.42E-03	8.54E-02	3.52	1	0.54	1	2.89E+05	1	57.7	1	1.56E+02	1	6.39E+02	1	4.73E+03	1	0.00E+00	6	1.97	1	18.41	1	0.23	1	28.3	1	0.0262	0	0.036	0	0.0096	0	0.007	0	0.0073	0	0.0314	0	0.0596	0	0.0064	0	0.0182	0	0.0109	0	0.0701	0	0.0362	0	0	0	0.0018	0	0.0015	0	0.002	0	0.0011	0	LOD	0	LOD	0	0.0443	0	0.0443	0	LOD	0	0.3082	0	0.3178	0	0.0025	0	0.0099	0	2284	1	2156.5	1
SOCLIM	KERFIX	B	2016-10-18T23:07:20	-50.68273	68.37746	1707	9	21	252.438	250.106	2.083	2.0695	33.978	27.1474	299.948	0.0233	0.5485	1.8374	5.47E-03	3.59E+00		9	310.998	0.011	3.19E-04	1.60E-02		9		9		9		9		9		9		9		9		9		9		9		9																																																						9		9
SOCLIM	KERFIX	B	2016-10-18T23:15:23	-50.68274	68.37744	1707	9	22	100.752	99.857	2.2907	2.2853	33.9121	27.0775	324.021	0.1734	0.6074	5.0216	5.82E-03	3.55E+00		9	335.071	0.278	1.22E-03	7.43E-02		9		9		9		9		9		9		9		9		9		9		9		9																																																						9		9
SOCLIM	KERFIX	B	2016-10-18T23:18:51	-50.68272	68.37746	1707	9	23	51.272	50.823	2.3701	2.3673	33.9098	27.069	325.416	0.2024	0.6158	246.0245	9.47E-03	3.35E+00		9	336.466	0.303	1.35E-03	8.48E-02		9		9		9		9		9		9		9		9		9		9		9		9																																																						9		9
SOCLIM	KERFIX	B	2016-10-18T23:25:38	-50.68271	68.37742	1707	9	24	5.251	5.205	2.3754	2.3751	33.9019	27.0621	325.527	0.1884	0.6179	7.2133	1.09E-01	3.55E+00		9	336.577	0.291	1.42E-03	8.54E-02		9		9		9		9		9		9		9		9		9		9		9		9																																																						9		9
SOCLIM	FS	B	2016-10-19T10:00:15	-52.50046	66.99972	4320	10	1	1214.794	1200.602	2.2413	2.1635	34.7256	27.7387	180.104	0.0167	0.5386	12.6052	5.99E-03	6.52E+02		9	191.154	0.008	8.25E-05	6.97E-03		9		9		9		9		9		9		9		9	2.19	1	76.25	1	0.07	1	33	1																																																					2345.1	1	2242.3	1
SOCLIM	FS	B	2016-10-19T10:06:42	-52.50048	66.99971	4320	10	2	1012.17	1000.828	2.3492	2.2852	34.6835	27.695	173.199	0.0171	0.5389	7.0734	5.99E-03	7.76E+02		9	184.249	0.006	8.86E-05	7.13E-03		9		9		9		9		9		9		9		9		9		9		9		9																																																					2341	1	2246.5	1
SOCLIM	FS	B	2016-10-19T10:06:52	-52.50048	66.9997	4320	10	3	1011.802	1000.465	2.3492	2.2853	34.6835	27.6949	173.005	0.0159	0.5389	4.1069	5.93E-03	7.76E+02	184.8259495	1	184.055	0.006	9.11E-05	7.14E-03	0.36	1	0.04	1	4.58E+04	1	62.1	1		9		9		9		9	2.31	1	75.13	1	0.07	1	34.28	1																																																					2338.5	1	2245.5	1
SOCLIM	FS	B	2016-10-19T10:12:44	-52.50046	66.9997	4320	10	4	807.514	798.855	2.3731	2.3233	34.611	27.6338	165.544	0.0222	0.5398	124.8869	8.04E-03	8.27E+02	179.7291349	1	176.594	0.005	1.22E-04	7.84E-03		9		9		9		9		9		9		9		9	2.43	1	75.12	1	0.08	1	36.07	1																																																					2336	1	2253.6	1
SOCLIM	FS	B	2016-10-19T10:18:03	-52.5005	66.99968	4320	10	5	606.668	600.451	2.4277	2.3911	34.5055	27.5437	166.542	0.0166	0.5419	3.637	5.99E-03	8.46E+02		9	177.592	0.006	1.93E-04	1.00E-02		9		9		9		9		9		9		9		9	2.49	1	70.03	1	0.07	1	37.45	1																																																					2327.1	1	2251	1
SOCLIM	FS	B	2016-10-19T10:21:21	-52.50046	66.99972	4320	10	6	504.38	499.335	2.4296	2.3997	34.4371	27.4882	174.213	0.0164	0.542	242.5857	8.90E-03	8.40E+02	181.7194505	1	185.263	0.009	1.94E-04	1.04E-02	0.43	1	0.07	1	8.61E+04	1	62.1	1		9		9		9		9	2.45	1	64.59	1	0.08	1	37.62	1	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	0	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	0.0004	0	0.0004	0	LOD	0	LOD	0	2320.6	1	2245.5	1
SOCLIM	FS	B	2016-10-19T10:24:20	-52.50048	66.9997	4320	10	7	403.754	399.812	2.3749	2.3516	34.3309	27.4073	194.208	0.0168	0.5436	11.5529	5.99E-03	8.69E+02	210.0163179	1	205.258	0.006	2.33E-04	1.18E-02		9		9		9		9		9		9		9		9	2.4	1	55.18	1	0.07	1	36.85	1																																																					2310.8	1	2231.9	1
SOCLIM	FS	B	2016-10-19T10:27:39	-52.50046	66.99972	4320	10	8	302.453	299.573	2.1494	2.1328	34.1923	27.3141	234.618	0.0231	0.5461	10.315	1.09E-02	8.96E+02	240.9109044	1	245.668	0.005	3.03E-04	1.42E-02		9		9		9		9		9		9		9		9	2.29	1	43.24	1	0.07	1	35.14	1																																																					2297.5	1	2208.9	1
SOCLIM	FS	B	2016-10-19T10:30:19	-52.50048	66.99968	4320	10	9	250.982	248.623	2.0768	2.0633	34.1153	27.2579	258.616	0.0181	0.547	2.626	3.14E-02	9.47E+02	273.0127405	1	269.666	0.003	3.07E-04	1.52E-02	0.67	1	0.11	1	1.54E+05	1	66.6	1	9.66E+00	1	1.24E+01	1	9.66E+00	1	0.00E+00	6	2.22	1	36.19	1	0.07	1	33.6	1	0.0004	0	0.0008	0	LOD	0	LOD	0	LOD	0	0.0006	0	0.002	0	LOD	0	LOD	0	LOD	0	0.001	0	0.0004	0	0	0	0.0002	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	LOD	0	0.0056	0	0.0056	0	LOD	0	0.0002	0	2293.6	1	2196.7	1
SOCLIM	FS	B	2016-10-19T10:32:49	-52.50049	66.99964	4320	10	10	200.407	198.548	1.8574	1.8471	33.9913	27.1752	304.273	0.0289	0.5533	225.1352	1.20E-01	9.04E+02	312.6923835	1	315.323	0.021	4.13E-04	2.04E-02	0.97	1	0.16	1	2.20E+05	1	61.3	1	3.31E+01	1	7.73E+01	1	3.81E+02	1	0.00E+00	6	2.06	1	26	1	0.13	1	30.83	1	0.0034	0	0.0036	0	LOD	0	LOD	0	0.0075	0	0.0034	0	0.0101	0	0.0005	0	0.0014	0	0.0005	0	0.0057	0	0.0018	0	0	0	0.0003	0	LOD	0	0.0004	0	LOD	0	LOD	0	LOD	0	0.0044	0	0.0044	0	LOD	0	0.0325	0	0.0325	0	0.0016	0	0.001	0	2287.6	1	2170.6	1
SOCLIM	FS	B	2016-10-19T10:34:59	-52.5005	66.99968	4320	10	11	149.137	147.772	1.8846	1.877	33.9497	27.1395	323.274	0.1365	0.5944	8.034	5.52E-01	7.97E+02	335.3652625	1	334.324	0.201	9.42E-04	5.97E-02	2.54	1	0.38	1	2.88E+05	1	58.9	1	8.28E+01	1	4.80E+02	1	3.39E+03	1	0.00E+00	6	2.01	1	22.84	1	0.28	1	29.54	1	0.0214	0	0.0261	0	0.0036	2	0.0026	0	0.0102	0	0.0202	0	0.0556	0	0.0033	0	0.0091	0	0.0039	0	0.0442	0	0.0123	0	0	0	0.0022	0	0.0004	0	0.0011	0	0.0005	0	LOD	0	LOD	0	0.0282	0	0.0282	0	LOD	0	0.2103	0	0.2139	0	0.0033	0	0.005	0	2287.3	1	2163.1	1
SOCLIM	FS	B	2016-10-19T10:36:24	-52.50048	66.99966	4320	10	12	124.923	123.786	1.9037	1.8973	33.9478	27.1366	323.596	0.1383	0.5932	104.0114	1.41E+00	7.97E+02		9	334.646	0.217	1.00E-03	6.33E-02	2.42	1	0.39	1	2.80E+05	1	59.9	1	1.02E+02	1	4.84E+02	1	3.33E+03	1	0.00E+00	6	2.01	1	22.62	1	0.27	1	29.48	1	0.0225	0	0.028	0	0.004	0	0.0032	0	0.0105	0	0.0209	0	0.0583	0	0.0037	0	0.0097	0	0.0039	0	0.0457	0	0.0126	0	0	0	0.0022	0	0.0004	0	0.0012	0	0.0007	0	LOD	0	LOD	0	0.0299	0	0.0299	0	LOD	0	0.2188	0	0.2228	0	0.0031	0	0.0053	0	2287.3	1	2162.3	1
SOCLIM	FS	B	2016-10-19T10:37:54	-52.50048	66.99968	4320	10	13	101.178	100.263	1.9186	1.9135	33.947	27.1346	323.347	0.1334	0.5925	7.1536	3.64E+00	8.08E+02	333.4456563	1	334.397	0.217	9.69E-04	6.09E-02	2.29	1	0.35	1	2.81E+05	1	57.5	1	8.83E+01	1	4.54E+02	1	3.21E+03	1	0.00E+00	6	2.01	1	22.48	1	0.27	1	29.46	1	0.0221	0	0.027	0	0.0036	0	0.0028	0	0.0099	0	0.0204	0	0.0561	0	0.0035	0	0.0096	0	0.0039	0	0.0453	0	0.0121	2	0	0	0.0019	0	0.0004	0	0.0012	0	0.0007	0	LOD	0	LOD	0	0.0298	0	0.0298	0	LOD	0	0.213	0	0.2166	0	0.0036	0	0.0052	0	2286.5	1	2149.7	1
SOCLIM	FS	B	2016-10-19T10:39:52	-52.50048	66.99966	4320	10	14	75.832	75.151	1.9274	1.9235	33.9453	27.1326	323.639	0.1339	0.5918	2.8735	9.37E+00	7.91E+02		9	334.689	0.22	9.82E-04	5.92E-02	2.25	1	0.31	1	2.79E+05	1	59.2	1	9.39E+01	1	5.13E+02	1	3.16E+03	1	0.00E+00	6	2	1	22.35	1	0.28	1	29.41	1	0.0205	0	0.0263	0	0.0035	0	0.0031	0	0.009	0	0.0194	0	0.0539	0	0.0035	0	0.0092	0	0.0037	0	0.0433	0	0.0118	0	0	0	0.002	0	0.0004	0	0.0011	0	LOD	0	LOD	0	LOD	0	0.0285	0	0.0285	0	LOD	0	0.205	0	0.2085	0	0.0031	0	0.0052	0	2283.7	1	2159.6	1
SOCLIM	FS	B	2016-10-19T10:41:18	-52.50049	66.99968	4320	10	15	49.573	49.131	1.9738	1.9713	33.9421	27.1263	324.948	0.1828	0.6036	245.0318	2.54E+01	7.59E+02		9	335.998	0.282	1.03E-03	6.90E-02	2.33	1	0.38	1	2.85E+05	1	56.4	1	1.17E+02	1	4.42E+02	1	3.87E+03	1	0.00E+00	6	1.99	1	22.08	1	0.28	1	29.26	1	0.0258	0	0.036	0	0.0065	0	0.0045	0	0.0101	0	0.0255	0	0.0699	0	0.0047	0	0.013	0	0.0055	0	0.0615	0	0.0167	0	0	0	0.0025	2	0.0005	0	0.0015	0	0.0007	0	LOD	0	LOD	0	0.0392	0	0.0392	0	LOD	0	0.2686	0	0.2751	0	0.0031	0	0.0069	0	2288.4	1	2166.2	1
SOCLIM	FS	B	2016-10-19T10:42:59	-52.50047	66.9997	4320	10	16	38.425	38.083	1.9909	1.9889	33.9425	27.1253	325.765	0.2113	0.6137	246.875	3.86E+01	7.22E+02	343.0374188	1	336.815	0.322	1.16E-03	7.76E-02	2.85	1	0.43	1	2.66E+05	1	56	1	9.25E+01	1	7.09E+02	1	4.42E+03	1	0.00E+00	6	1.98	1	21.91	1	0.25	1	29.22	1	0.0255	0	0.0386	0	0.0084	0	0.0058	0	0.0095	0	0.0257	0	0.0728	0	0.0049	0	0.0135	0	0.0068	0	0.0644	0	0.0221	0	0	0	0.0023	2	0.0008	0	0.0017	0	0.0007	0	LOD	0	LOD	0	0.0393	0	0.0393	0	LOD	0	0.2777	0	0.2861	0	0.0027	0	0.0073	0	2285.3	1	2161.4	1
SOCLIM	FS	B	2016-10-19T10:45:35	-52.50049	66.99968	4320	10	17	30.639	30.368	1.9986	1.997	33.9428	27.1249	326.137	0.1922	0.6164	247.5902	4.89E+01	6.62E+02		9	337.187	0.324	1.23E-03	8.36E-02		9		9		9		9		9		9		9		9	1.97	1	21.88	1	0.26	1	29.21	1	0.0248	0	0.0382	0	0.0102	0	0.0055	0	0.0086	0	0.0257	0	0.0702	0	0.0049	0	0.0133	0	0.007	0	0.065	0	0.0232	0	0	0	0.0025	0	0.0008	0	0.0018	0	LOD	0	LOD	0	LOD	0	0.038	0	0.038	0	LOD	0	0.2706	0	0.2808	0	0.0037	0	0.0075	0	2286.8	1	2164	1
SOCLIM	FS	B	2016-10-19T10:47:03	-52.50049	66.99968	4320	10	18	20.672	20.489	1.998	1.997	33.9427	27.1248	326.348	0.1798	0.616	7.8093	7.46E+01	6.29E+02	341.6904497	1	337.398	0.321	1.26E-03	8.47E-02	3.32	1	0.47	1	2.88E+05	1	58.2	1	1.10E+02	1	6.47E+02	1	4.30E+03	1	0.00E+00	6	1.97	1	21.83	1	0.26	1	29.23	1	0.0249	0	0.0375	0	0.0091	0	0.006	0	0.0094	0	0.0247	0	0.0691	0	0.0048	0	0.0134	0	0.007	0	0.0644	0	0.0237	0	0	0	0.0023	2	0.0011	0	0.0019	0	0.0008	0	LOD	0	LOD	0	0.0382	0	0.0382	0	LOD	0	0.271	0	0.2801	0	0.0035	0	0.0077	0	2287.1	1	2164	1
SOCLIM	FS	B	2016-10-19T10:49:15	-52.50048	66.9997	4320	10	19	8.782	8.705	1.994	1.9935	33.9425	27.125	326.332	0.1532	0.616	2.2431	1.58E+02	5.85E+02		9	337.382	0.255	1.29E-03	8.62E-02		9		9		9		9		9		9		9		9	1.96	1	21.89	1	0.25	1	29.19	1																																																					2293.8	1	2166.1	1
