float_num,lon,lat,depth,fluo,chla,t_chla,peri,but,hex,zea,fuco,allo,chlb,date,diff_date,lovbio,dist,code,fluo_biased,ratio
6902742,61.7323493333333,-58.4157773333333,11.0690002441406,0.30019998550415,0.2183,0.2243,0.0039,0.0141,0.0552,0.0012,0.0701,0.0045,0.0119,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.6003999710083,2.6767720508617923
6902742,61.7323493333333,-58.4157773333333,20.0869998931885,0.30019998550415,0.2204,0.2273,0.0043,0.014,0.0571,0.0012,0.0722,0.0044,0.0119,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.6003999710083,2.6414428992886054
6902742,61.7323493333333,-58.4157773333333,29.9449996948242,0.30019998550415,0.2129,0.2199,0.0047,0.0142,0.0534,9e-4,0.0702,0.0044,0.0103,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.6003999710083,2.730331837236471
6902742,61.7323493333333,-58.4157773333333,39.0979995727539,0.30019998550415,0.2202,0.2271,0.0044,0.0141,0.0579,0.001,0.072,0.0044,0.0114,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.6003999710083,2.6437691369806253
6902742,61.7323493333333,-58.4157773333333,50.0880012512207,0.30019998550415,0.2219,0.2293,0.0048,0.0146,0.0574,0.001,0.0732,0.0045,0.0111,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.6003999710083,2.6184037113314433
6902742,61.7323493333333,-58.4157773333333,75.0640029907227,0.30019998550415,0.2292,0.2362,0.0041,0.0153,0.0573,0.001,0.0771,0.0044,0.0127,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.6003999710083,2.5419135097726504
6902742,61.7323493333333,-58.4157773333333,101.998001098633,0.30019998550415,0.2404,0.2404,0.0039,0.0178,0.0573,9e-4,0.0847,0.0046,0.0136,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.6003999710083,2.4975040391360235
6902742,61.7323493333333,-58.4157773333333,149.057998657227,0.140599995851517,0.1309,0.1309,0,0.0118,0.0242,6e-4,0.0459,0.0028,0.0112,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.281199991703034,2.1482046730560276
6902742,61.7323493333333,-58.4157773333333,200.031005859375,0.0608000010251999,0.0124,0.0124,0,0.0014,9e-4,0,0.0064,4e-4,0,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.1216000020503998,9.80645177825805
6902742,61.7323493333333,-58.4157773333333,249.020004272461,0.00760000012814999,0.0043,0.0043,0,0,0,0,0.0021,0,0,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.01520000025629998,3.5348837805348787
6902742,61.7323493333333,-58.4157773333333,499.851989746094,0.00380000006407499,0.003,0.003,0,0,0,0,0.0017,0,0,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.00760000012814998,2.533333376049993
6902742,61.7323493333333,-58.4157773333333,11.0690002441406,0.30019998550415,0.2183,0.2243,0.0039,0.0141,0.0552,0.0012,0.0701,0.0045,0.0119,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.6003999710083,2.6767720508617923
6902742,61.7323493333333,-58.4157773333333,20.0869998931885,0.30019998550415,0.2204,0.2273,0.0043,0.014,0.0571,0.0012,0.0722,0.0044,0.0119,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.6003999710083,2.6414428992886054
6902742,61.7323493333333,-58.4157773333333,29.9449996948242,0.30019998550415,0.2129,0.2199,0.0047,0.0142,0.0534,9e-4,0.0702,0.0044,0.0103,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.6003999710083,2.730331837236471
6902742,61.7323493333333,-58.4157773333333,39.0979995727539,0.30019998550415,0.2202,0.2271,0.0044,0.0141,0.0579,0.001,0.072,0.0044,0.0114,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.6003999710083,2.6437691369806253
6902742,61.7323493333333,-58.4157773333333,50.0880012512207,0.30019998550415,0.2219,0.2293,0.0048,0.0146,0.0574,0.001,0.0732,0.0045,0.0111,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.6003999710083,2.6184037113314433
6902742,61.7323493333333,-58.4157773333333,75.0640029907227,0.30019998550415,0.2292,0.2362,0.0041,0.0153,0.0573,0.001,0.0771,0.0044,0.0127,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.6003999710083,2.5419135097726504
6902742,61.7323493333333,-58.4157773333333,101.998001098633,0.30019998550415,0.2404,0.2404,0.0039,0.0178,0.0573,9e-4,0.0847,0.0046,0.0136,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.6003999710083,2.4975040391360235
6902742,61.7323493333333,-58.4157773333333,149.057998657227,0.140599995851517,0.1309,0.1309,0,0.0118,0.0242,6e-4,0.0459,0.0028,0.0112,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.281199991703034,2.1482046730560276
6902742,61.7323493333333,-58.4157773333333,200.031005859375,0.0608000010251999,0.0124,0.0124,0,0.0014,9e-4,0,0.0064,4e-4,0,2016-10-23T00:00:00Z,-2,lovapm002a,16565.2319355436,ANTA,0.1216000020503998,9.80645177825805
