  Cycle   ACYCAA01:1  ATTNDR01:1  CPHLPS01:1  DOXYSC01:1  DWIRPP01:1  OXYSSC01:1  POPTDR01:1  POTMCV01:1  PRESPR01:1  PSALCC01:1  SIGTPR01:1  TEMPST01:1  UWIRPP01:1  
Number              f           f           f           f           f           f           f           f           f           f           f           f           f 
      35)         35       0.073        0.03       223.8        0.89      103.28      98.200      22.969       38.00      36.958      25.430      22.971        0.10 
      36)         36       0.072        0.02       223.1        0.88      103.10      98.220      23.048       39.00      36.965      25.412      23.051        0.09 
      37)         37       0.072        0.03       223.1        0.86      103.00      98.210      22.997       40.00      36.960      25.423      23.000        0.09 
      38)         38       0.072        0.04       223.7        0.84      103.24      98.200      22.980       41.00      36.961      25.429      22.983        0.09 
      39)         39       0.073        0.04       224.1        0.82      103.35      98.200      22.942       42.00      36.956      25.436      22.945        0.09 
      40)         40       0.073        0.05       223.8        0.80      103.22      98.190      22.946       43.00      36.959      25.438      22.949        0.09 
      41)         41       0.074        0.03       223.3        0.79      102.95      98.180      22.919       44.00      36.957      25.444      22.923        0.08 
      42)         42       0.073        0.03       223.9        0.77      103.19      98.180      22.905       45.00      36.957      25.448      22.909        0.08 
      43)         43       0.074        0.05       223.9        0.75      103.20      98.160      22.898       46.00      36.957      25.450      22.902        0.08 
      44)         44       0.072        0.08       223.8        0.73      103.17      98.220      22.905       47.00      36.957      25.448      22.909        0.08 
      45)         45       0.073        0.08       223.8        0.72      103.12      98.190      22.878       48.00      36.956      25.455      22.882        0.08 
      46)         46       0.074        0.08       223.9        0.71      103.16      98.160      22.871       49.00      36.955      25.456      22.876        0.07 
      47)         47       0.075        0.07       224.1        0.69      103.21      98.130      22.867       50.00      36.955      25.457      22.872        0.07 
      48)         48       0.074        0.09       224.0        0.67      103.17      98.160      22.868       51.00      36.956      25.458      22.873        0.07 
      49)         49       0.074        0.08       223.6        0.67      103.01      98.160      22.866       52.00      36.955      25.458      22.871        0.07 
      50)         50       0.074        0.06       224.1        0.64      103.22      98.180      22.860       53.00      36.955      25.459      22.865        0.06 
      51)         51       0.073        0.08       224.0        0.62      103.18      98.190      22.857       54.00      36.956      25.461      22.863        0.06 
      52)         52       0.073        0.08       223.4        0.62      102.93      98.200      22.882       55.00      36.956      25.454      22.888        0.06 
      53)         53       0.073        0.10       223.6        0.60      103.00      98.200      22.857       56.00      36.955      25.460      22.863        0.06 
      54)         54       0.073        0.09       224.4        0.59      103.28      98.180      22.826       57.00      36.955      25.469      22.832        0.06 
      55)         55       0.074        0.10       223.9        0.58      103.12      98.170      22.860       58.00      36.956      25.460      22.866        0.06 
      56)         56       0.073        0.09       223.3        0.57      102.79      98.180      22.841       59.00      36.954      25.464      22.848        0.05 
      57)         57       0.075        0.09       224.3        0.55      103.20      98.140      22.795       60.00      36.952      25.476      22.802        0.05 
      58)         58       0.074        0.12       224.3        0.54      103.28      98.170      22.838       61.00      36.955      25.466      22.845        0.05 
      59)         59       0.074        0.09       224.2        0.53      103.10      98.160      22.768       62.00      36.950      25.482      22.775        0.05 
      60)         60       0.075        0.09       225.1        0.52      103.46      98.150      22.743       63.00      36.948      25.488      22.750        0.05 
      61)         61       0.075        0.09       225.4        0.50      103.54      98.150      22.719       64.00      36.945      25.492      22.727        0.05 
      62)         62       0.075        0.11       224.7        0.49      103.33      98.150      22.769       65.00      36.949      25.481      22.777        0.05 
      63)         63       0.075        0.10       225.0        0.48      103.32      98.140      22.680       66.00      36.937      25.498      22.688        0.05 
      64)         64       0.075        0.09       225.4        0.46      103.46      98.130      22.674       67.00      36.937      25.499      22.682        0.04 
      65)         65       0.075        0.09       225.3        0.45      103.56      98.140      22.751       68.00      36.946      25.484      22.759        0.04 
      66)         66       0.075        0.10       224.8        0.44      103.26      98.140      22.710       69.00      36.941      25.492      22.719        0.04 
