    P[dbar]   T[ITS90]      Theta   Salinite      Gamma   Ox[ml/l]  Ox[um/kg]    Fluo[V]    F[Urel]    CDOM[V] CDOM[Urel]   CSTAR[V]    C660[%]  C660[m-1]
    497.000    13.4185    13.3456    38.5798    29.0970    3.89377    168.942     1.1765     0.1615     0.0000    -1.6296     4.6162    93.4101     0.0682
    498.000    13.4181    13.3451    38.5796    29.0970    3.89433    168.966     1.1755     0.1611     0.0000    -1.6296     4.6162    93.4101     0.0682
    499.000    13.4176    13.3444    38.5795    29.0970    3.89616    169.046     1.1755     0.1611     0.0000    -1.6296     4.6162    93.4101     0.0682
    500.000    13.4156    13.3423    38.5791    29.0971    3.89987    169.207     1.1755     0.1611     0.0000    -1.6296     4.6161    93.4083     0.0682
    501.000    13.4147    13.3412    38.5790    29.0972    3.90062    169.240     1.1779     0.1620     0.0000    -1.6296     4.6161    93.4083     0.0682
    502.000    13.4138    13.3402    38.5786    29.0973    3.90171    169.287     1.1779     0.1621     0.0000    -1.6296     4.6161    93.4083     0.0682
    503.000    13.4121    13.3383    38.5783    29.0973    3.90192    169.296     1.1784     0.1622     0.0000    -1.6296     4.6163    93.4110     0.0682
    504.000    13.4107    13.3368    38.5779    29.0974    3.90192    169.296     1.1784     0.1622     0.0000    -1.6296     4.6164    93.4130     0.0682
    505.000    13.4096    13.3356    38.5776    29.0974    3.90467    169.415     1.1779     0.1621     0.0000    -1.6296     4.6165    93.4156     0.0681
    506.000    13.4083    13.3341    38.5774    29.0975    3.90694    169.514     1.1772     0.1618     0.0000    -1.6296     4.6165    93.4156     0.0681
    507.000    13.4081    13.3338    38.5773    29.0975    3.90694    169.514     1.1690     0.1584     0.0000    -1.6296     4.6165    93.4152     0.0681
    508.000    13.4077    13.3332    38.5772    29.0976    3.90694    169.514     1.1673     0.1577     0.0000    -1.6296     4.6165    93.4154     0.0681
    509.000    13.4076    13.3330    38.5771    29.0976    3.90432    169.400     1.1659     0.1571     0.0000    -1.6296     4.6165    93.4154     0.0681
    510.000    13.4074    13.3326    38.5771    29.0976    3.90432    169.400     1.1659     0.1571     0.0000    -1.6296     4.6165    93.4154     0.0681
    511.000    13.4043    13.3294    38.5765    29.0978    3.90429    169.399     1.1659     0.1571     0.0000    -1.6296     4.6165    93.4167     0.0681
    512.000    13.4034    13.3283    38.5761    29.0978    3.90429    169.399     1.1619     0.1556     0.0000    -1.6296     4.6165    93.4167     0.0681
    513.000    13.4027    13.3275    38.5760    29.0979    3.90442    169.405     1.1619     0.1556     0.0000    -1.6296     4.6165    93.4167     0.0681
    514.000    13.4024    13.3270    38.5760    29.0979    3.90552    169.453     1.1619     0.1556     0.0000    -1.6296     4.6165    93.4167     0.0681
    515.000    13.4011    13.3256    38.5755    29.0979    3.90689    169.512     1.1677     0.1579     0.0000    -1.6296     4.6165    93.4167     0.0681
    516.000    13.4003    13.3247    38.5753    29.0980    3.91029    169.659     1.1750     0.1609     0.0000    -1.6296     4.6165    93.4167     0.0681
    517.000    13.3997    13.3239    38.5754    29.0980    3.91413    169.826     1.1798     0.1628     0.0000    -1.6296     4.6166    93.4180     0.0681
    518.000    13.3995    13.3236    38.5752    29.0981    3.91417    169.828     1.1820     0.1637     0.0000    -1.6296     4.6166    93.4180     0.0681
    519.000    13.3992    13.3231    38.5751    29.0981    3.91450    169.842     1.1820     0.1637     0.0000    -1.6296     4.6166    93.4180     0.0681
    520.000    13.3980    13.3218    38.5749    29.0981    3.91450    169.842     1.1819     0.1637     0.0000    -1.6296     4.6166    93.4180     0.0681
    521.000    13.3970    13.3206    38.5744    29.0982    3.91417    169.828     1.1798     0.1628     0.0000    -1.6296     4.6166    93.4180     0.0681
    522.000    13.3958    13.3193    38.5744    29.0982    3.91403    169.822     1.1745     0.1606     0.0000    -1.6296     4.6165    93.4154     0.0681
    523.000    13.3949    13.3182    38.5740    29.0983    3.91306    169.780     1.1745     0.1606     0.0000    -1.6296     4.6165    93.4154     0.0681
    524.000    13.3937    13.3169    38.5737    29.0983    3.91193    169.731     1.1745     0.1606     0.0000    -1.6296     4.6166    93.4180     0.0681
    525.000    13.3937    13.3166    38.5738    29.0984    3.91188    169.729     1.1806     0.1631     0.0000    -1.6296     4.6167    93.4194     0.0681
    526.000    13.3935    13.3165    38.5738    29.0984    3.91176    169.723     1.1806     0.1631     0.0000    -1.6296     4.6166    93.4180     0.0681
    527.000    13.3925    13.3152    38.5733    29.0985    3.91176    169.723     1.1806     0.1631     0.0000    -1.6296     4.6167    93.4194     0.0681
    528.000    13.3922    13.3146    38.5734    29.0985    3.91176    169.723     1.1728     0.1600     0.0000    -1.6296     4.6167    93.4194     0.0681
    529.000    13.3922    13.3145    38.5732    29.0985    3.91293    169.774     1.1728     0.1600     0.0000    -1.6296     4.6167    93.4193     0.0681
    530.000    13.3922    13.3145    38.5734    29.0985    3.91642    169.926     1.1718     0.1596     0.0000    -1.6296     4.6167    93.4193     0.0681
    531.000    13.3922    13.3142    38.5735    29.0985    3.91763    169.978     1.1691     0.1584     0.0000    -1.6296     4.6167    93.4207     0.0681
    532.000    13.3922    13.3142    38.5734    29.0986    3.91774    169.983     1.1674     0.1578     0.0000    -1.6296     4.6167    93.4208     0.0681
    533.000    13.3907    13.3126    38.5728    29.0986    3.91915    170.044     1.1634     0.1562     0.0000    -1.6296     4.6167    93.4208     0.0681
    534.000    13.3897    13.3114    38.5728    29.0986    3.92086    170.118     1.1634     0.1562     0.0000    -1.6296     4.6167    93.4208     0.0681
    535.000    13.3896    13.3112    38.5726    29.0987    3.92113    170.130     1.1634     0.1562     0.0000    -1.6296     4.6167    93.4208     0.0681
    536.000    13.3891    13.3105    38.5723    29.0988    3.92310    170.215     1.1689     0.1584     0.0000    -1.6296     4.6167    93.4207     0.0681
    537.000    13.3886    13.3099    38.5724    29.0988    3.92639    170.358     1.1751     0.1609     0.0000    -1.6296     4.6166    93.4180     0.0681
    538.000    13.3882    13.3093    38.5723    29.0988    3.93222    170.611     1.1767     0.1616     0.0000    -1.6296     4.6167    93.4207     0.0681
    539.000    13.3876    13.3086    38.5720    29.0988    3.93394    170.686     1.1794     0.1626     0.0000    -1.6296     4.6167    93.4208     0.0681
    540.000    13.3864    13.3072    38.5718    29.0988    3.93394    170.686     1.1772     0.1617     0.0000    -1.6296     4.6167    93.4193     0.0681
    541.000    13.3856    13.3063    38.5715    29.0989    3.93394    170.686     1.1772     0.1617     0.0000    -1.6296     4.6167    93.4207     0.0681
    542.000    13.3856    13.3061    38.5715    29.0989    3.93109    170.562     1.1779     0.1621     0.0000    -1.6296     4.6167    93.4208     0.0681
    543.000    13.3850    13.3053    38.5714    29.0989    3.93064    170.543     1.1772     0.1617     0.0000    -1.6296     4.6167    93.4207     0.0681
    544.000    13.3849    13.3051    38.5714    29.0990    3.93004    170.517     1.1761     0.1613     0.0000    -1.6296     4.6167    93.4195     0.0681
    545.000    13.3849    13.3051    38.5713    29.0990    3.92885    170.465     1.1723     0.1598     0.0000    -1.6296     4.6167    93.4195     0.0681
    546.000    13.3843    13.3042    38.5712    29.0990    3.92659    170.367     1.1648     0.1567     0.0000    -1.6296     4.6167    93.4195     0.0681
    547.000    13.3833    13.3031    38.5707    29.0990    3.92659    170.367     1.1638     0.1563     0.0000    -1.6296     4.6167    93.4195     0.0681
    548.000    13.3823    13.3019    38.5705    29.0990    3.92659    170.367     1.1638     0.1563     0.0000    -1.6296     4.6168    93.4222     0.0681
    549.000    13.3818    13.3013    38.5706    29.0991    3.92739    170.402     1.1638     0.1563     0.0000    -1.6296     4.6169    93.4233     0.0680
    550.000    13.3813    13.3007    38.5704    29.0992    3.92986    170.509     1.1657     0.1571     0.0000    -1.6296     4.6169    93.4233     0.0680
    551.000    13.3810    13.3002    38.5702    29.0992    3.93069    170.545     1.1705     0.1590     0.0000    -1.6296     4.6169    93.4239     0.0680
    552.000    13.3802    13.2993    38.5701    29.0992    3.93103    170.560     1.1731     0.1601     0.0000    -1.6296     4.6169    93.4246     0.0680
    553.000    13.3802    13.2991    38.5701    29.0993    3.93173    170.590     1.1750     0.1608     0.0000    -1.6296     4.6170    93.4268     0.0680
    554.000    13.3799    13.2987    38.5699    29.0993    3.93433    170.703     1.1793     0.1626     0.0000    -1.6296     4.6170    93.4268     0.0680
    555.000    13.3792    13.2978    38.5698    29.0993    3.93513    170.738     1.1821     0.1638     0.0000    -1.6296     4.6170    93.4268     0.0680
    556.000    13.3787    13.2972    38.5698    29.0992    3.93534    170.747     1.1821     0.1638     0.0000    -1.6296     4.6170    93.4268     0.0680
    557.000    13.3786    13.2969    38.5695    29.0993    3.93562    170.759     1.1821     0.1638     0.0000    -1.6296     4.6170    93.4268     0.0680
    558.000    13.3782    13.2964    38.5693    29.0993    3.93727    170.831     1.1723     0.1598     0.0000    -1.6296     4.6170    93.4268     0.0680
    559.000    13.3775    13.2955    38.5692    29.0993    3.93887    170.900     1.1723     0.1598     0.0000    -1.6296     4.6170    93.4273     0.0680
    560.000    13.3769    13.2948    38.5693    29.0993    3.93727    170.831     1.1721     0.1597     0.0000    -1.6296     4.6170    93.4273     0.0680
    561.000    13.3765    13.2942    38.5689    29.0995    3.93698    170.818     1.1714     0.1594     0.0000    -1.6296     4.6170    93.4273     0.0680
    562.000    13.3760    13.2936    38.5689    29.0995    3.93698    170.818     1.1701     0.1589     0.0000    -1.6296     4.6170    93.4263     0.0680
    563.000    13.3760    13.2933    38.5688    29.0995    3.93296    170.644     1.1701     0.1589     0.0000    -1.6296     4.6169    93.4233     0.0680
    564.000    13.3760    13.2933    38.5688    29.0995    3.93211    170.607     1.1701     0.1589     0.0000    -1.6296     4.6169    93.4233     0.0680
    565.000    13.3760    13.2932    38.5689    29.0995    3.93211    170.607     1.1711     0.1593     0.0000    -1.6296     4.6169    93.4233     0.0680
    566.000    13.3762    13.2931    38.5688    29.0995    3.93211    170.607     1.1711     0.1593     0.0000    -1.6296     4.6170    93.4264     0.0680
    567.000    13.3762    13.2930    38.5688    29.0995    3.93358    170.671     1.1711     0.1593     0.0000    -1.6296     4.6170    93.4268     0.0680
    568.000    13.3763    13.2930    38.5689    29.0995    3.93363    170.673     1.1674     0.1578     0.0000    -1.6296     4.6170    93.4268     0.0680
    569.000    13.3765    13.2930    38.5687    29.0996    3.93399    170.689     1.1668     0.1575     0.0000    -1.6296     4.6170    93.4264     0.0680
    570.000    13.3766    13.2930    38.5688    29.0996    3.93451    170.711     1.1668     0.1575     0.0000    -1.6296     4.6170    93.4264     0.0680
    571.000    13.3767    13.2930    38.5688    29.0996    3.93451    170.711     1.1674     0.1578     0.0000    -1.6296     4.6170    93.4256     0.0680
    572.000    13.3768    13.2929    38.5689    29.0996    3.93451    170.711     1.1741     0.1605     0.0000    -1.6296     4.6170    93.4256     0.0680
    573.000    13.3768    13.2926    38.5688    29.0997    3.93061    170.542     1.1791     0.1626     0.0000    -1.6296     4.6170    93.4264     0.0680
    574.000    13.3768    13.2926    38.5689    29.0997    3.92908    170.475     1.1794     0.1627     0.0000    -1.6296     4.6171    93.4286     0.0680
    575.000    13.3768    13.2926    38.5689    29.0997    3.92653    170.365     1.1794     0.1627     0.0000    -1.6296     4.6171    93.4286     0.0680
    576.000    13.3768    13.2924    38.5686    29.0997    3.92557    170.323     1.1791     0.1626     0.0000    -1.6296     4.6171    93.4286     0.0680
    577.000    13.3766    13.2919    38.5688    29.0997    3.92557    170.323     1.1782     0.1622     0.0000    -1.6296     4.6171    93.4286     0.0680
    578.000    13.3766    13.2917    38.5686    29.0997    3.92557    170.323     1.1725     0.1598     0.0000    -1.6296     4.6172    93.4306     0.0679
    579.000    13.3766    13.2916    38.5686    29.0997    3.92988    170.510     1.1655     0.1570     0.0000    -1.6296     4.6171    93.4286     0.0680
    580.000    13.3765    13.2915    38.5684    29.0997    3.93644    170.795     1.1655     0.1570     0.0000    -1.6296     4.6170    93.4273     0.0680
    581.000    13.3763    13.2913    38.5684    29.0998    3.94096    170.991     1.1655     0.1570     0.0000    -1.6296     4.6170    93.4273     0.0680
    582.000    13.3757    13.2903    38.5685    29.0998    3.94199    171.035     1.1800     0.1629     0.0000    -1.6296     4.6171    93.4278     0.0680
    583.000    13.3753    13.2897    38.5682    29.0998    3.94213    171.042     1.1818     0.1636     0.0000    -1.6296     4.6171    93.4278     0.0680
    584.000    13.3741    13.2884    38.5680    29.0999    3.94213    171.042     1.1818     0.1636     0.0000    -1.6296     4.6174    93.4338     0.0679
    585.000    13.3723    13.2865    38.5675    29.0999    3.94208    171.040     1.1800     0.1629     0.0000    -1.6296     4.6174    93.4338     0.0679
    586.000    13.3719    13.2857    38.5675    29.1000    3.94213    171.042     1.1756     0.1611     0.0000    -1.6296     4.6174    93.4343     0.0679
    587.000    13.3719    13.2857    38.5675    29.1000    3.94315    171.086     1.1720     0.1596     0.0000    -1.6296     4.6174    93.4357     0.0679
    588.000    13.3719    13.2856    38.5673    29.1000    3.94208    171.040     1.1691     0.1584     0.0000    -1.6296     4.6175    93.4361     0.0679
    589.000    13.3721    13.2856    38.5673    29.1000    3.94208    171.040     1.1691     0.1584     0.0000    -1.6296     4.6175    93.4361     0.0679
    590.000    13.3722    13.2856    38.5674    29.1000    3.94030    170.962     1.1678     0.1579     0.0000    -1.6296     4.6175    93.4361     0.0679
    591.000    13.3724    13.2856    38.5674    29.1000    3.93502    170.733     1.1691     0.1584     0.0000    -1.6296     4.6175    93.4361     0.0679
    592.000    13.3725    13.2856    38.5675    29.1000    3.93502    170.733     1.1725     0.1598     0.0000    -1.6296     4.6175    93.4361     0.0679
    593.000    13.3726    13.2856    38.5675    29.1000    3.93502    170.733     1.1725     0.1598     0.0000    -1.6296     4.6175    93.4361     0.0679
    594.000    13.3726    13.2856    38.5673    29.1001    3.93502    170.733     1.1678     0.1579     0.0000    -1.6296     4.6174    93.4348     0.0679
    595.000    13.3726    13.2853    38.5673    29.1000    3.93485    170.726     1.1677     0.1579     0.0000    -1.6296     4.6174    93.4348     0.0679
    596.000    13.3726    13.2853    38.5673    29.1000    3.93357    170.670     1.1677     0.1579     0.0000    -1.6296     4.6175    93.4361     0.0679
    597.000    13.3726    13.2851    38.5673    29.1000    3.93357    170.670     1.1677     0.1579     0.0000    -1.6296     4.6174    93.4348     0.0679
    598.000    13.3726    13.2848    38.5672    29.1000    3.93357    170.670     1.1710     0.1592     0.0000    -1.6296     4.6174    93.4348     0.0679
    599.000    13.3725    13.2847    38.5671    29.1000    3.93523    170.742     1.1710     0.1592     0.0000    -1.6296     4.6175    93.4378     0.0679
    600.000    13.3723    13.2842    38.5673    29.1001    3.93956    170.930     1.1710     0.1592     0.0000    -1.6296     4.6177    93.4401     0.0678
    601.000    13.3721    13.2839    38.5672    29.1001    3.94027    170.961     1.1639     0.1564     0.0000    -1.6296     4.6177    93.4401     0.0678
    602.000    13.3719    13.2835    38.5670    29.1001    3.94027    170.961     1.1625     0.1558     0.0000    -1.6296     4.6177    93.4401     0.0678
    603.000    13.3717    13.2832    38.5667    29.1001    3.94027    170.961     1.1623     0.1557     0.0000    -1.6296     4.6175    93.4375     0.0679
    604.000    13.3712    13.2825    38.5667    29.1001    3.93892    170.902     1.1623     0.1557     0.0000    -1.6296     4.6175    93.4361     0.0679
    605.000    13.3711    13.2823    38.5668    29.1002    3.93821    170.872     1.1625     0.1558     0.0000    -1.6296     4.6175    93.4361     0.0679
    606.000    13.3710    13.2820    38.5666    29.1002    3.93758    170.844     1.1675     0.1578     0.0000    -1.6296     4.6175    93.4361     0.0679
    607.000    13.3706    13.2815    38.5665    29.1003    3.93725    170.830     1.1686     0.1582     0.0000    -1.6296     4.6176    93.4390     0.0678
    608.000    13.3695    13.2802    38.5663    29.1003    3.93540    170.750     1.1713     0.1593     0.0000    -1.6296     4.6177    93.4417     0.0678
    609.000    13.3687    13.2793    38.5662    29.1003    3.93437    170.705     1.1723     0.1597     0.0000    -1.6296     4.6177    93.4417     0.0678
    610.000    13.3686    13.2790    38.5659    29.1003    3.93437    170.705     1.1723     0.1597     0.0000    -1.6296     4.6177    93.4417     0.0678
    611.000    13.3684    13.2787    38.5658    29.1003    3.93437    170.705     1.1723     0.1597     0.0000    -1.6296     4.6177    93.4417     0.0678
    612.000    13.3676    13.2777    38.5657    29.1003    3.93464    170.717     1.1683     0.1582     0.0000    -1.6296     4.6177    93.4417     0.0678
    613.000    13.3668    13.2768    38.5657    29.1004    3.93741    170.837     1.1656     0.1570     0.0000    -1.6296     4.6177    93.4417     0.0678
    614.000    13.3659    13.2757    38.5653    29.1004    3.93991    170.946     1.1637     0.1563     0.0000    -1.6296     4.6177    93.4404     0.0678
    615.000    13.3649    13.2746    38.5651    29.1004    3.94267    171.066     1.1634     0.1561     0.0000    -1.6296     4.6177    93.4404     0.0678
    616.000    13.3647    13.2743    38.5649    29.1004    3.94267    171.066     1.1637     0.1563     0.0000    -1.6296     4.6177    93.4416     0.0678
    617.000    13.3625    13.2718    38.5641    29.1005    3.94267    171.066     1.1656     0.1570     0.0000    -1.6296     4.6177    93.4416     0.0678
    618.000    13.3624    13.2716    38.5641    29.1005    3.94289    171.075     1.1662     0.1573     0.0000    -1.6296     4.6177    93.4416     0.0678
    619.000    13.3623    13.2713    38.5643    29.1005    3.94289    171.075     1.1667     0.1575     0.0000    -1.6296     4.6177    93.4417     0.0678
    620.000    13.3622    13.2711    38.5642    29.1005    3.94289    171.075     1.1671     0.1577     0.0000    -1.6296     4.6177    93.4417     0.0678
    621.000    13.3622    13.2710    38.5641    29.1006    3.94357    171.105     1.1667     0.1575     0.0000    -1.6296     4.6178    93.4431     0.0678
    622.000    13.3618    13.2705    38.5641    29.1006    3.94460    171.149     1.1667     0.1575     0.0000    -1.6296     4.6178    93.4431     0.0678
    623.000    13.3616    13.2701    38.5640    29.1006    3.94592    171.207     1.1592     0.1545     0.0000    -1.6296     4.6178    93.4431     0.0678
    624.000    13.3603    13.2687    38.5632    29.1007    3.94964    171.368     1.1592     0.1545     0.0000    -1.6296     4.6178    93.4431     0.0678
    625.000    13.3586    13.2665    38.5630    29.1006    3.95211    171.475     1.1573     0.1537     0.0000    -1.6296     4.6178    93.4431     0.0678
    626.000    13.3586    13.2665    38.5631    29.1007    3.95211    171.475     1.1592     0.1545     0.0000    -1.6296     4.6178    93.4431     0.0678
    627.000    13.3586    13.2665    38.5630    29.1007    3.95211    171.475     1.1611     0.1553     0.0000    -1.6296     4.6178    93.4431     0.0678
    628.000    13.3597    13.2675    38.5634    29.1007    3.95052    171.406     1.1620     0.1556     0.0000    -1.6296     4.6178    93.4431     0.0678
    629.000    13.3606    13.2682    38.5635    29.1007    3.94875    171.329     1.1640     0.1564     0.0000    -1.6296     4.6178    93.4431     0.0678
    630.000    13.3607    13.2682    38.5636    29.1007    3.94790    171.293     1.1692     0.1585     0.0000    -1.6296     4.6178    93.4431     0.0678
    631.000    13.3612    13.2684    38.5635    29.1007    3.94773    171.285     1.1707     0.1591     0.0000    -1.6296     4.6177    93.4417     0.0678
    632.000    13.3612    13.2685    38.5636    29.1007    3.94790    171.293     1.1741     0.1605     0.0000    -1.6296     4.6177    93.4417     0.0678
    633.000    13.3618    13.2687    38.5636    29.1006    3.94790    171.293     1.1754     0.1610     0.0000    -1.6296     4.6177    93.4417     0.0678
    634.000    13.3618    13.2687    38.5638    29.1007    3.94961    171.367     1.1754     0.1610     0.0000    -1.6296     4.6177    93.4417     0.0678
    635.000    13.3618    13.2687    38.5635    29.1006    3.95391    171.553     1.1754     0.1610     0.0000    -1.6296     4.6178    93.4431     0.0678
    636.000    13.3614    13.2680    38.5635    29.1006    3.95660    171.670     1.1740     0.1605     0.0000    -1.6296     4.6178    93.4431     0.0678
    637.000    13.3611    13.2675    38.5633    29.1006    3.95660    171.670     1.1722     0.1597     0.0000    -1.6296     4.6178    93.4431     0.0678
    638.000    13.3599    13.2662    38.5628    29.1007    3.95660    171.670     1.1697     0.1587     0.0000    -1.6296     4.6178    93.4431     0.0678
    639.000    13.3570    13.2631    38.5623    29.1008    3.95566    171.630     1.1697     0.1587     0.0000    -1.6296     4.6178    93.4431     0.0678
    640.000    13.3566    13.2626    38.5624    29.1008    3.95405    171.559     1.1697     0.1587     0.0000    -1.6296     4.6178    93.4431     0.0678
    641.000    13.3564    13.2621    38.5622    29.1008    3.95260    171.497     1.1697     0.1587     0.0000    -1.6296     4.6178    93.4431     0.0678
    642.000    13.3562    13.2620    38.5621    29.1008    3.95062    171.411     1.1704     0.1590     0.0000    -1.6296     4.6178    93.4431     0.0678
    643.000    13.3558    13.2613    38.5618    29.1008    3.95062    171.411     1.1810     0.1633     0.0000    -1.6296     4.6178    93.4432     0.0678
    644.000    13.3557    13.2611    38.5617    29.1008    3.95062    171.411     1.1810     0.1633     0.0000    -1.6296     4.6178    93.4432     0.0678
    645.000    13.3553    13.2604    38.5617    29.1008    3.95118    171.435     1.1810     0.1633     0.0000    -1.6296     4.6178    93.4432     0.0678
    646.000    13.3553    13.2602    38.5615    29.1008    3.95118    171.435     1.1763     0.1614     0.0000    -1.6296     4.6178    93.4432     0.0678
    647.000    13.3553    13.2602    38.5616    29.1009    3.95136    171.443     1.1761     0.1613     0.0000    -1.6296     4.6178    93.4431     0.0678
    648.000    13.3553    13.2602    38.5616    29.1009    3.95136    171.443     1.1754     0.1610     0.0000    -1.6296     4.6178    93.4431     0.0678
    649.000    13.3553    13.2602    38.5617    29.1009    3.95107    171.430     1.1737     0.1603     0.0000    -1.6296     4.6178    93.4431     0.0678
    650.000    13.3554    13.2600    38.5613    29.1009    3.95107    171.430     1.1711     0.1593     0.0000    -1.6296     4.6178    93.4431     0.0678
    651.000    13.3543    13.2588    38.5613    29.1009    3.95046    171.404     1.1708     0.1591     0.0000    -1.6296     4.6177    93.4418     0.0678
    652.000    13.3539    13.2583    38.5615    29.1009    3.95046    171.404     1.1708     0.1591     0.0000    -1.6296     4.6177    93.4418     0.0678
    653.000    13.3539    13.2580    38.5608    29.1010    3.95046    171.404     1.1708     0.1591     0.0000    -1.6296     4.6178    93.4430     0.0678
    654.000    13.3511    13.2550    38.5603    29.1008    3.95046    171.404     1.1731     0.1601     0.0000    -1.6296     4.6178    93.4430     0.0678
    655.000    13.3509    13.2547    38.5603    29.1010    3.94923    171.351     1.1748     0.1608     0.0000    -1.6296     4.6178    93.4431     0.0678
    656.000    13.3504    13.2540    38.5598    29.1010    3.94923    171.351     1.1802     0.1630     0.0000    -1.6296     4.6178    93.4431     0.0678
    657.000    13.3488    13.2522    38.5596    29.1010    3.94923    171.351     1.1802     0.1630     0.0000    -1.6296     4.6178    93.4431     0.0678
    658.000    13.3488    13.2520    38.5596    29.1010    3.95127    171.439     1.1812     0.1634     0.0000    -1.6296     4.6178    93.4431     0.0678
    659.000    13.3488    13.2520    38.5596    29.1010    3.95147    171.448     1.1802     0.1630     0.0000    -1.6296     4.6178    93.4431     0.0678
    660.000    13.3488    13.2520    38.5596    29.1010    3.95279    171.505     1.1790     0.1625     0.0000    -1.6296     4.6178    93.4431     0.0678
    661.000    13.3488    13.2519    38.5595    29.1010    3.95611    171.649     1.1780     0.1621     0.0000    -1.6296     4.6178    93.4431     0.0678
    662.000    13.3488    13.2517    38.5595    29.1010    3.95611    171.649     1.1736     0.1603     0.0000    -1.6296     4.6178    93.4431     0.0678
    663.000    13.3488    13.2514    38.5594    29.1010    3.95611    171.649     1.1719     0.1596     0.0000    -1.6296     4.6178    93.4431     0.0678
    664.000    13.3488    13.2512    38.5595    29.1010    3.95457    171.582     1.1646     0.1566     0.0000    -1.6296     4.6178    93.4431     0.0678
    665.000    13.3471    13.2494    38.5589    29.1011    3.95080    171.419     1.1646     0.1566     0.0000    -1.6296     4.6178    93.4431     0.0678
    666.000    13.3456    13.2477    38.5586    29.1012    3.95037    171.400     1.1646     0.1566     0.0000    -1.6296     4.6179    93.4445     0.0678
    667.000    13.3455    13.2475    38.5586    29.1012    3.95037    171.400     1.1703     0.1589     0.0000    -1.6296     4.6179    93.4445     0.0678
    668.000    13.3446    13.2464    38.5583    29.1012    3.95037    171.400     1.1709     0.1592     0.0000    -1.6296     4.6179    93.4446     0.0678
    669.000    13.3415    13.2432    38.5575    29.1012    3.95381    171.550     1.1711     0.1593     0.0000    -1.6296     4.6179    93.4457     0.0678
    670.000    13.3398    13.2414    38.5573    29.1015    3.95398    171.557     1.1714     0.1594     0.0000    -1.6296     4.6179    93.4456     0.0678
    671.000    13.3392    13.2403    38.5570    29.1015    3.95473    171.590     1.1736     0.1603     0.0000    -1.6296     4.6179    93.4456     0.0678
    672.000    13.3392    13.2403    38.5569    29.1015    3.95474    171.590     1.1736     0.1603     0.0000    -1.6296     4.6180    93.4473     0.0678
    673.000    13.3392    13.2403    38.5571    29.1015    3.95593    171.642     1.1736     0.1603     0.0000    -1.6296     4.6180    93.4473     0.0678
    674.000    13.3405    13.2412    38.5574    29.1015    3.95700    171.688     1.1732     0.1601     0.0000    -1.6296     4.6180    93.4472     0.0678
    675.000    13.3405    13.2412    38.5573    29.1015    3.95700    171.688     1.1651     0.1568     0.0000    -1.6296     4.6180    93.4473     0.0678
    676.000    13.3405    13.2412    38.5576    29.1016    3.95700    171.688     1.1651     0.1568     0.0000    -1.6296     4.6180    93.4473     0.0678
    677.000    13.3405    13.2410    38.5574    29.1017    3.95700    171.688     1.1651     0.1568     0.0000    -1.6296     4.6180    93.4473     0.0678
    678.000    13.3385    13.2389    38.5568    29.1017    3.95700    171.688     1.1739     0.1604     0.0000    -1.6296     4.6180    93.4473     0.0678
    679.000    13.3363    13.2365    38.5563    29.1017    3.95725    171.699     1.1748     0.1608     0.0000    -1.6296     4.6180    93.4473     0.0678
    680.000    13.3357    13.2356    38.5560    29.1017    3.95725    171.699     1.1749     0.1608     0.0000    -1.6296     4.6181    93.4483     0.0677
    681.000    13.3357    13.2356    38.5560    29.1017    3.95725    171.699     1.1749     0.1608     0.0000    -1.6296     4.6180    93.4472     0.0678
    682.000    13.3357    13.2356    38.5561    29.1017    3.95605    171.647     1.1749     0.1608     0.0000    -1.6296     4.6180    93.4472     0.0678
    683.000    13.3363    13.2358    38.5562    29.1017    3.95558    171.627     1.1717     0.1595     0.0000    -1.6296     4.6180    93.4472     0.0678
    684.000    13.3363    13.2358    38.5562    29.1018    3.95558    171.627     1.1717     0.1595     0.0000    -1.6296     4.6180    93.4472     0.0678
    685.000    13.3363    13.2358    38.5561    29.1018    3.95558    171.627     1.1717     0.1595     0.0000    -1.6296     4.6180    93.4472     0.0678
    686.000    13.3357    13.2349    38.5559    29.1018    3.95892    171.771     1.1771     0.1617     0.0000    -1.6296     4.6179    93.4459     0.0678
    687.000    13.3343    13.2333    38.5556    29.1018    3.96150    171.884     1.1771     0.1617     0.0000    -1.6296     4.6181    93.4497     0.0677
    688.000    13.3339    13.2328    38.5555    29.1018    3.96374    171.981     1.1771     0.1617     0.0000    -1.6296     4.6181    93.4497     0.0677
    689.000    13.3332    13.2319    38.5551    29.1018    3.96706    172.125     1.1756     0.1611     0.0000    -1.6296     4.6182    93.4514     0.0677
    690.000    13.3328    13.2314    38.5549    29.1018    3.96706    172.125     1.1683     0.1581     0.0000    -1.6296     4.6182    93.4514     0.0677
    691.000    13.3318    13.2303    38.5546    29.1018    3.96706    172.125     1.1683     0.1581     0.0000    -1.6296     4.6182    93.4519     0.0677
    692.000    13.3308    13.2291    38.5545    29.1018    3.96601    172.080     1.1643     0.1565     0.0000    -1.6296     4.6182    93.4523     0.0677
    693.000    13.3301    13.2283    38.5542    29.1019    3.96180    171.897     1.1625     0.1558     0.0000    -1.6296     4.6182    93.4519     0.0677
    694.000    13.3287    13.2267    38.5542    29.1020    3.96150    171.884     1.1613     0.1553     0.0000    -1.6296     4.6182    93.4519     0.0677
