    P[dbar]   T[ITS90]      Theta   Salinite      Gamma   Ox[ml/l]  Ox[um/kg]    Fluo[V]    F[Urel]    CDOM[V] CDOM[Urel]   CSTAR[V]    C660[%]  C660[m-1]
     44.000    14.4319    14.4253    38.2649    28.6200    5.20175    225.732     1.4362     0.3079     0.0000    -1.6296     4.5335    91.7129     0.0865
     45.000    14.4050    14.3982    38.2649    28.6260    5.18787    225.130     1.4337     0.3060     0.0000    -1.6296     4.5338    91.7192     0.0865
     46.000    14.3916    14.3847    38.2658    28.6297    5.16158    223.989     1.4271     0.3011     0.0000    -1.6296     4.5342    91.7285     0.0863
     47.000    14.3815    14.3744    38.2657    28.6319    5.13556    222.860     1.4262     0.3005     0.0000    -1.6296     4.5373    91.7922     0.0856
     48.000    14.3674    14.3602    38.2657    28.6350    5.11847    222.119     1.4185     0.2949     0.0000    -1.6296     4.5435    91.9192     0.0843
     49.000    14.3569    14.3495    38.2661    28.6377    5.09093    220.924     1.4160     0.2931     0.0000    -1.6296     4.5451    91.9521     0.0839
     50.000    14.3519    14.3444    38.2668    28.6393    5.06768    219.915     1.4054     0.2856     0.0000    -1.6296     4.5458    91.9667     0.0838
     51.000    14.3460    14.3383    38.2669    28.6407    5.04989    219.143     1.4035     0.2843     0.0000    -1.6296     4.5506    92.0646     0.0827
     52.000    14.3269    14.3191    38.2675    28.6454    5.03034    218.294     1.3993     0.2814     0.0000    -1.6296     4.5565    92.1841     0.0814
     53.000    14.3144    14.3064    38.2685    28.6489    4.99855    216.915     1.3861     0.2725     0.0000    -1.6296     4.5595    92.2465     0.0807
     54.000    14.3071    14.2990    38.2687    28.6507    4.96853    215.612     1.3773     0.2666     0.0000    -1.6296     4.5620    92.2973     0.0801
     55.000    14.2892    14.2809    38.2699    28.6556    4.94646    214.654     1.3713     0.2627     0.0000    -1.6296     4.5651    92.3620     0.0794
     56.000    14.2711    14.2627    38.2717    28.6610    4.93405    214.116     1.3558     0.2529     0.0000    -1.6296     4.5684    92.4288     0.0787
     57.000    14.2539    14.2454    38.2742    28.6667    4.92568    213.753     1.3450     0.2463     0.0000    -1.6296     4.5710    92.4835     0.0782
     58.000    14.2455    14.2368    38.2751    28.6693    4.90812    212.990     1.3343     0.2399     0.0000    -1.6296     4.5714    92.4907     0.0781
     59.000    14.2413    14.2325    38.2750    28.6702    4.87424    211.520     1.3228     0.2332     0.0000    -1.6296     4.5716    92.4950     0.0781
     60.000    14.2407    14.2317    38.2748    28.6702    4.85374    210.631     1.3180     0.2304     0.0000    -1.6296     4.5721    92.5065     0.0779
     61.000    14.2198    14.2107    38.2766    28.6762    4.84291    210.161     1.3170     0.2298     0.0000    -1.6296     4.5756    92.5768     0.0771
