5 12,182 5 12,597
10 12,526 10 13,111
10 12,454 10 12,602
10 12,219 10 12,535
30 12,49 20 12,378
70 12,8 40 12,402
100 12,749 80 12,554
120 13,178 100 12,602
150 12,566 120 12,692
180 13,304 140 12,634
200 13,075 160 12,923
240 13,216 200 12,979
